UserName,TestId,TestName,TestDateTime,OperationId,OpTime,ProcName,Tip,SampleId,Rack,Well,SrcRack,SrcWell,Volume,ErrorText,Response Text
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,193,202,Compress Plate MDT_1,1,SRC0001,CPF203AE,A1,CPF203AE,A1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,194,202,Compress Plate MDT_1,2,SRC0002,CPF203AE,B1,CPF203AE,B1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,195,202,Compress Plate MDT_1,3,SRC0003,CPF203AE,C1,CPF203AE,C1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,196,202,Compress Plate MDT_1,4,SRC0004,CPF203AE,D1,CPF203AE,D1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,197,202,Compress Plate MDT_1,5,SRC0005,CPF203AE,E1,CPF203AE,E1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,198,202,Compress Plate MDT_1,6,SRC0006,CPF203AE,F1,CPF203AE,F1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,199,202,Compress Plate MDT_1,7,SRC0007,CPF203AE,G1,CPF203AE,G1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,200,202,Compress Plate MDT_1,8,SRC0008,CPF203AE,H1,CPF203AE,H1,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,201,202,Compress Plate MDT_1,9,SRC0009,CPF203AE,A2,CPF203AE,A2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,202,202,Compress Plate MDT_1,10,SRC0010,CPF203AE,B2,CPF203AE,B2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,203,202,Compress Plate MDT_1,11,SRC0011,CPF203AE,C2,CPF203AE,C2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,204,202,Compress Plate MDT_1,12,SRC0012,CPF203AE,D2,CPF203AE,D2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,205,202,Compress Plate MDT_1,13,SRC0013,CPF203AE,E2,CPF203AE,E2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,206,202,Compress Plate MDT_1,14,SRC0014,CPF203AE,F2,CPF203AE,F2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,207,202,Compress Plate MDT_1,15,SRC0015,CPF203AE,G2,CPF203AE,G2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,208,202,Compress Plate MDT_1,16,SRC0016,CPF203AE,H2,CPF203AE,H2,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,209,202,Compress Plate MDT_1,17,SRC0017,CPF203AE,A3,CPF203AE,A3,30,,
JANUS,569,STEP2_Compress_siRNAsource_96WP_to_384WP.pro,7/11/2016 3:09:25 PM,210,202,Compress Plate MDT_1,18,SRC0018,CPF203AE,B3,CPF203AE,B3,30,,
