UserName,TestId,TestName,TestDateTime,OperationId,OpTime,ProcName,Tip,SampleId,Rack,Well,SrcRack,SrcWell,Volume,ErrorText,Response Text
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,193,544,Replicate Plate MDT_1,1,SRC0001,CPF203AA,A1,Reservior_001,A1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,194,544,Replicate Plate MDT_1,2,SRC0002,CPF203AA,B1,Reservior_001,B1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,195,544,Replicate Plate MDT_1,3,SRC0003,CPF203AA,C1,Reservior_001,C1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,196,544,Replicate Plate MDT_1,4,SRC0004,CPF203AA,D1,Reservior_001,D1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,197,544,Replicate Plate MDT_1,5,SRC0005,CPF203AA,E1,Reservior_001,E1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,198,544,Replicate Plate MDT_1,6,SRC0006,CPF203AA,F1,Reservior_001,F1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,199,544,Replicate Plate MDT_1,7,SRC0007,CPF203AA,G1,Reservior_001,G1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,200,544,Replicate Plate MDT_1,8,SRC0008,CPF203AA,H1,Reservior_001,H1,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,201,544,Replicate Plate MDT_1,9,SRC0009,CPF203AA,A2,Reservior_001,A2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,202,544,Replicate Plate MDT_1,10,SRC0010,CPF203AA,B2,Reservior_001,B2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,203,544,Replicate Plate MDT_1,11,SRC0011,CPF203AA,C2,Reservior_001,C2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,204,544,Replicate Plate MDT_1,12,SRC0012,CPF203AA,D2,Reservior_001,D2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,205,544,Replicate Plate MDT_1,13,SRC0013,CPF203AA,E2,Reservior_001,E2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,206,544,Replicate Plate MDT_1,14,SRC0014,CPF203AA,F2,Reservior_001,F2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,207,544,Replicate Plate MDT_1,15,SRC0015,CPF203AA,G2,Reservior_001,G2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,208,544,Replicate Plate MDT_1,16,SRC0016,CPF203AA,H2,Reservior_001,H2,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,209,544,Replicate Plate MDT_1,17,SRC0017,CPF203AA,A3,Reservior_001,A3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,210,544,Replicate Plate MDT_1,18,SRC0018,CPF203AA,B3,Reservior_001,B3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,211,544,Replicate Plate MDT_1,19,SRC0019,CPF203AA,C3,Reservior_001,C3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,212,544,Replicate Plate MDT_1,20,SRC0020,CPF203AA,D3,Reservior_001,D3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,213,544,Replicate Plate MDT_1,21,SRC0021,CPF203AA,E3,Reservior_001,E3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,214,544,Replicate Plate MDT_1,22,SRC0022,CPF203AA,F3,Reservior_001,F3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,215,544,Replicate Plate MDT_1,23,SRC0023,CPF203AA,G3,Reservior_001,G3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,216,544,Replicate Plate MDT_1,24,SRC0024,CPF203AA,H3,Reservior_001,H3,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,217,544,Replicate Plate MDT_1,25,SRC0025,CPF203AA,A4,Reservior_001,A4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,218,544,Replicate Plate MDT_1,26,SRC0026,CPF203AA,B4,Reservior_001,B4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,219,544,Replicate Plate MDT_1,27,SRC0027,CPF203AA,C4,Reservior_001,C4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,220,544,Replicate Plate MDT_1,28,SRC0028,CPF203AA,D4,Reservior_001,D4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,221,544,Replicate Plate MDT_1,29,SRC0029,CPF203AA,E4,Reservior_001,E4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,222,544,Replicate Plate MDT_1,30,SRC0030,CPF203AA,F4,Reservior_001,F4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,223,544,Replicate Plate MDT_1,31,SRC0031,CPF203AA,G4,Reservior_001,G4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,224,544,Replicate Plate MDT_1,32,SRC0032,CPF203AA,H4,Reservior_001,H4,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,225,544,Replicate Plate MDT_1,33,SRC0033,CPF203AA,A5,Reservior_001,A5,50,,
JANUS,564,STEP1auto_Resuspend_Source_Library_PlateStak1.pro,7/7/2016 11:51:46 AM,226,544,Replicate Plate MDT_1,34,SRC0034,CPF203AA,B5,Reservior_001,B5,50,,
