plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
2	216	7.6	I24	sikiller	sikiller	1603.63202726	617.758785168	1110.695406214	-985.873242092	2.48	0.987	15.813	-0.615	NA	NA	NA
4	72	5.74	C24	sikiller	sikiller	695.566038139	1103.18001234	899.3730252395	407.613974201	1.13	1.88	1.488	9.995	NA	NA	NA
5	321	4.54	N09	sample	sample	928.123787482	1248.70341508	1088.413601281	320.579627598	1.51	1.58	4.211	4.869	56970	ATXN7L3	s230630
4	312	3.96	M24	sikiller	sikiller	942.243631415	674.986541332	808.6150863735	-267.257090083	1.53	1.15	6.222	1.696	NA	NA	NA
3	24	3.82	A24	sikiller	sikiller	626.912389253	846.753276746	736.8328329995	219.840887493	1.09	1.42	1.485	6.149	NA	NA	NA
1	364	3.75	P04	sample	sample	789.237046779	789.944626079	789.590836429	0.70757930000002	1.44	1.33	3.342	4.149	6601	SMARCC2	s13150
3	216	3.62	I24	sikiller	sikiller	968.536121258	550.817892904	759.677007081	-417.718228354	1.68	0.927	8.459	-1.219	NA	NA	NA
4	100	3.59	E04	sample	sample	852.987665417	784.503832263	818.74574884	-68.483833154	1.39	1.34	3.56	3.625	1487	CTBP1	s3699
2	330	3.56	N18	sample	sample	827.552558426	785.573489125	806.5630237755	-41.979069301	1.28	1.25	3.617	3.509	5977	DPF2	s11931
8	306	3.48	M18	sample	sample	915.3653257	1060.88342087	988.124373285	145.51809517	1.3	1.48	3.897	3.067	5111	PCNA	s10135
7	366	3.47	P06	sample	sample	830.549109659	1031.63642302	931.0927663395	201.087313361	1.42	1.42	3.448	3.486	54968	TMEM70	s29879
3	124	3.42	F04	sample	sample	766.266348179	784.482379783	775.374363981	18.216031604	1.33	1.32	2.972	3.862	91133	L3MBTL4	s40576
2	373	3.26	P13	sample	sample	794.453522079	745.777519519	770.115520799	-48.67600256	1.23	1.19	3.253	3.274	79960	PHF17	s36726
7	187	3.08	H19	sample	sample	675.21926616	955.282120481	815.2506933205	280.062854321	1.16	1.31	2.754	3.398	54491	FAM105A	s29068
5	290	3.05	M02	sample	sample	918.354392142	1087.04414651	1002.699269326	168.689754368	1.5	1.37	3.78	2.329	54623	PAF1	s29269
3	209	2.94	I17	sample	sample	659.029309088	706.172034995	682.6006720415	47.142725907	1.14	1.19	2.96	2.93	5563	PRKAA2	s11058
1	109	2.94	E13	sample	sample	711.352294884	734.007251211	722.6797730475	22.654956327	1.3	1.24	2.368	3.51	2186	BPTF	s5010
8	203	2.93	I11	sample	sample	987.899234807	1002.75246149	995.3258481485	14.853226683	1.41	1.4	3.456	2.396	10762	NUP50	s21140
5	59	2.9	C11	sample	sample	764.506981266	1030.34038406	897.423682663	265.833402794	1.24	1.3	3.055	2.754	10285	SMNDC1	s20103
8	175	2.88	H07	sample	sample	887.035017769	986.684482536	936.8597501525	99.649464767	1.26	1.37	2.886	2.875	10890	RAB10	s21392
2	1	2.7	A01	sample	sample	629.061335391	867.676208428	748.3687719095	238.614873037	0.971	1.39	0.529	4.879	326	AIRE	s1440
3	90	2.68	D18	sample	sample	670.34301837	656.769369585	663.5561939775	-13.5736487849999	1.16	1.11	2.87	2.487	84864	MINA	s39523
8	62	2.66	C14	sample	sample	859.860666699	902.92242372	881.3915452095	43.0617570209999	1.22	1.26	2.573	2.756	88	ACTN2	s970
2	146	2.63	G02	sample	sample	780.98884308	781.81458275	781.401712915	0.825739669999962	1.21	1.25	2.948	2.312	9739	SETD1A	s18790
8	25	2.63	B01	sample	sample	950.917906256	1075.13503779	1013.026472023	124.217131534	1.35	1.5	2.482	2.777	729857	RGPD2	s60233
5	275	2.62	L11	sample	sample	761.663357147	933.462576224	847.5629666855	171.799219077	1.24	1.18	3.183	2.059	23429	RYBP	s23813
6	27	2.62	B03	sample	sample	739.574690686	1030.0005733	884.787631993	290.425882614	1.23	1.33	2.582	2.656	29082	CHMP4A	s26441
5	304	2.6	M16	sample	sample	759.469406507	1068.19000492	913.8297057135	308.720598413	1.24	1.35	2.463	2.735	84678	KDM2B	s39305
7	373	2.59	P13	sample	sample	743.834164178	873.586273817	808.7102189975	129.752109639	1.27	1.2	2.855	2.333	931	MS4A1	s2607
1	248	2.59	K08	sample	sample	703.931130589	741.218928467	722.575029528	37.287797878	1.28	1.25	2.521	2.649	11091	WDR5	s21863
3	105	2.57	E09	sample	sample	677.909265782	680.708025926	679.308645854	2.79876014399997	1.18	1.15	2.184	2.958	2145	EZH1	s4913
3	184	2.54	H16	sample	sample	634.853290036	640.127182966	637.490236501	5.27389292999999	1.1	1.08	2.517	2.564	196541	METTL21C	s47047
1	22	2.52	A22	sample	sample	507.042370937	626.728522224	566.8854465805	119.686151287	0.924	1.06	1.506	3.542	8535	CBX4	s16233
2	49	2.51	C01	sample	sample	759.494999371	750.180761772	754.8378805715	-9.31423759899997	1.17	1.2	2.334	2.691	1108	CHD4	s2985
1	378	2.51	P18	sample	sample	608.655199565	624.369591193	616.512395379	15.714391628	1.11	1.05	2.786	2.231	6996	TDG	s13949
1	116	2.5	E20	sample	sample	644.427608425	665.372784298	654.9001963615	20.945175873	1.17	1.12	2.651	2.343	9730	VPRBP	s18762
1	152	2.46	G08	sample	sample	671.690483419	733.060763183	702.375623301	61.370279764	1.22	1.23	2.2	2.712	9866	TRIM66	s458620
4	381	2.42	P21	sample	sample	715.467814093	686.696683244	701.0822486685	-28.771130849	1.16	1.17	2.189	2.648	84939	MUM1	s39711
8	70	2.4	C22	sample	sample	803.903452682	880.773893899	842.3386732905	76.870441217	1.14	1.23	3.362	1.437	79415	C17orf62	s35787
7	3	2.39	A03	sample	sample	750.990692605	1036.00453862	893.4976156125	285.013846015	1.29	1.42	1.624	3.15	7112	TMPO	s14234
1	88	2.33	D16	sample	sample	662.527923653	671.4961533	667.0120384765	8.96822964699993	1.21	1.13	2.159	2.506	84787	SUV420H2	s39430
1	86	2.33	D14	sample	sample	657.139635347	688.348263986	672.7439496665	31.208628639	1.2	1.16	2.049	2.604	84733	CBX2	s39391
5	323	2.32	N11	sample	sample	724.380564624	1051.18628927	887.783426947	326.805724646	1.18	1.33	1.877	2.764	79184	BRCC3	s35699
2	325	2.31	N13	sample	sample	758.244936625	735.266565151	746.755750888	-22.978371474	1.17	1.17	2.447	2.172	79595	SAP130	s35882
2	80	2.31	D08	sample	sample	780.601708857	764.222702668	772.4122057625	-16.3790061889999	1.2	1.22	1.927	2.686	84444	DOT1L	s39010
3	259	2.3	K19	sample	sample	720.461693142	686.446888622	703.454290882	-34.01480452	1.25	1.15	2.668	1.941	6419	SETMAR	s12708
2	234	2.27	J18	sample	sample	716.756580579	698.54174573	707.6491631545	-18.214834849	1.11	1.12	2.025	2.524	1107	CHD3	s2981
6	102	2.27	E06	sample	sample	706.184570374	1134.58199373	920.383282052	428.397423356	1.17	1.46	1.782	2.751	10228	STX6	s19958
1	280	2.27	L16	sample	sample	612.667821288	674.338903447	643.5033623675	61.671082159	1.12	1.14	1.882	2.649	3068	HDGF	s6500
6	69	2.26	C21	sample	sample	768.08258561	964.479077109	866.2808313595	196.396491499	1.28	1.24	1.848	2.666	8794	TNFRSF10C	s16753
4	105	2.25	E09	sample	sample	725.420655656	678.541158919	701.9809072875	-46.879496737	1.18	1.16	2.323	2.187	11240	PADI2	s223214
6	286	2.25	L22	sample	sample	771.27078338	850.310394663	810.7905890215	79.039611283	1.28	1.1	1.991	2.5	79041	TMEM38A	s35471
7	74	2.22	D02	sample	sample	773.897366953	860.839915034	817.3686409935	86.942548081	1.32	1.18	2.328	2.121	64151	NCAPG	s34514
1	241	2.22	K01	sample	sample	678.903755654	798.201064704	738.552410179	119.29730905	1.24	1.34	1.225	3.217	5585	PKN1	s11114
6	370	2.21	P10	sample	sample	661.10520895	1019.78853846	840.446873705	358.68332951	1.1	1.32	1.569	2.858	160418	TMTC3	s46197
1	63	2.2	C15	sample	sample	648.690055768	685.10269045	666.896373109	36.412634682	1.18	1.15	1.595	2.797	1788	DNMT3A	s200426
4	149	2.19	G05	sample	sample	682.791996338	693.385819167	688.0889077525	10.593822829	1.11	1.18	2.105	2.273	23512	SUZ12	s23967
6	276	2.18	L12	sample	sample	742.616210728	975.267659375	858.9419350515	232.651448647	1.23	1.26	2.35	2.013	23204	ARL6IP1	s23274
7	303	2.18	M15	sample	sample	750.419022027	776.747505449	763.583263738	26.328483422	1.28	1.07	2.74	1.613	4174	MCM5	s8596
6	255	2.18	K15	sample	sample	758.318708035	1025.43441818	891.8765631075	267.115710145	1.26	1.32	1.891	2.461	54475	NLE1	s29043
4	111	2.17	E15	sample	sample	697.755749319	627.058918316	662.4073338175	-70.6968310029999	1.13	1.07	1.894	2.45	22895	RPH3A	s223541
4	331	2.17	N19	sample	sample	774.038515436	696.604775671	735.3216455535	-77.433739765	1.26	1.19	2.776	1.56	80205	CHD9	s37051
2	177	2.16	H09	sample	sample	706.760932049	715.388998442	711.0749652455	8.62806639300004	1.09	1.14	1.611	2.707	55139	ANKZF1	s30259
8	73	2.16	D01	sample	sample	996.371503189	927.783920389	962.077711789	-68.5875828000001	1.42	1.29	3.214	1.097	256979	SUN3	s48828
6	52	2.16	C04	sample	sample	707.358922403	984.695023627	846.026973015	277.336101224	1.18	1.27	2.274	2.037	79053	ALG8	s35486
1	204	2.15	I12	sample	sample	686.861762405	713.722846698	700.2923045515	26.861084293	1.25	1.2	2.045	2.254	10474	TADA3	s20510
8	102	2.15	E06	sample	sample	963.572461283	875.117903004	919.3451821435	-88.454558279	1.37	1.22	2.959	1.339	10228	STX6	s19960
8	267	2.14	L03	sample	sample	912.400093538	1003.93242644	958.166259989	91.532332902	1.3	1.4	1.833	2.457	10948	STARD3	s21542
6	243	2.14	K03	sample	sample	702.758172287	1092.75397081	897.7560715485	389.995798523	1.17	1.41	1.633	2.656	23592	LEMD3	s24158
4	3	2.14	A03	sample	sample	722.739387017	728.755258812	725.7473229145	6.01587179499995	1.17	1.24	1.951	2.335	8165	AKAP1	s15665
8	247	2.14	K07	sample	sample	920.758308396	923.185380786	921.971844591	2.42707239000003	1.31	1.29	2.814	1.468	3895	KTN1	s8035
3	116	2.14	E20	sample	sample	673.807525245	684.623784421	679.215654833	10.816259176	1.17	1.15	2.074	2.205	9730	VPRBP	s18763
8	152	2.13	G08	sample	sample	951.441207019	955.42995339	953.4355802045	3.98874637100005	1.35	1.33	2.744	1.523	8379	MAD1L1	s15906
1	325	2.12	N13	sample	sample	680.565595702	705.782052802	693.173824252	25.2164571	1.24	1.19	1.596	2.636	79595	SAP130	s35881
6	381	2.11	P21	sample	sample	797.163771957	777.551481046	787.3576265015	-19.6122909109999	1.32	1	3.063	1.151	11284	PNKP	s22286
