plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
3	112	14.68	E16	sample	sample	0.924359322093	0.972950617808	0.9486549699505	0.048591295715	0.961	1.01	28.405	0.96	9612	NCOR2	s18469
3	350	8.66	O14	sample	sample	0.970481892161	0.972062041272	0.9712719667165	0.00158014911100002	1.01	1.01	16.15	1.17	23476	BRD4	s23901
3	230	8.33	J14	sample	sample	0.966683934551	0.971275010911	0.968979472731	0.00459107636	1.01	1	15.845	0.81	1105	CHD1	s2976
3	278	7.93	L14	sample	sample	0.967551414764	0.967226128159	0.9673887714615	-0.000325286604999975	1.01	1	15.846	0.022	3015	H2AFZ	s6415
3	302	7.89	M14	sample	sample	0.969651984833	0.963987146605	0.966819565719	-0.00566483822800001	1.01	0.997	15.931	-0.142	23067	SETD1B	s22960
3	374	7.66	P14	sample	sample	0.964333790308	0.963461813434	0.963897801871	-0.000871976874000091	1	0.997	15.55	-0.227	6941	TCF19	s13899
2	8	7.2	A08	sample	sample	0.9740095394	0.970971302756	0.972490421078	-0.00303823664400005	1.01	1.01	1.5	12.903	8202	NCOA3	s15700
3	254	7.14	K14	sample	sample	0.964793831633	0.960694147431	0.962743989532	-0.00409968420200002	1	0.994	15.324	-1.039	11108	PRDM4	s21905
3	326	5.16	N14	sample	sample	0.952010506401	0.946471277838	0.9492408921195	-0.00553922856300004	0.99	0.979	13.678	-3.352	5580	PRKCD	s11098
3	328	4.71	N16	sample	sample	0.78359289702	0.968283696031	0.8759382965255	0.184690799011	0.815	1	9.498	-0.078	5926	ARID4A	s11832
3	352	4.63	O16	sample	sample	0.783639524731	0.963457736885	0.873548630808	0.179818212154	0.815	0.997	9.565	-0.309	23492	CBX7	s23925
