plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
5	117	9.44	E21	sample	sample	757.487140948	936.352148388	846.919644668	178.86500744	2.53	2.51	9.462	9.412	23424	TDRD7	s23803
7	80	8.07	D08	sample	sample	888.917382711	965.470694681	927.194038696	76.5533119700001	2.58	2.19	10.068	6.078	991	CDC20	s2748
1	383	7.76	P23	sikiller	sikiller	938.928376081	835.60698268	887.2676793805	-103.321393401	2.72	2.15	9.835	5.694	NA	NA	NA
8	239	7.3	J23	sikiller	sikiller	486.412754249	1106.45659182	796.4346730345	620.043837571	1.51	2.7	4.11	10.497	NA	NA	NA
7	95	7.3	D23	sikiller	sikiller	888.050192192	785.861907918	836.956050055	-102.188284274	2.57	1.78	10.271	4.333	NA	NA	NA
4	384	7.12	P24	pos	pos	656.718335075	993.177397933	824.947866504	336.459062858	2.01	2.1	7.798	6.44	NA	NA	NA
4	144	7.09	F24	pos	pos	616.004100222	953.631752811	784.8179265165	337.627652589	1.89	2.01	6.935	7.24	NA	NA	NA
6	47	7.08	B23	sikiller	sikiller	778.68383611	658.10591855	718.39487733	-120.57791756	2.34	1.76	9.347	4.816	NA	NA	NA
5	384	6.49	P24	pos	pos	547.804543926	813.845746396	680.825145161	266.04120247	1.83	2.18	5.972	7.013	NA	NA	NA
8	247	6.41	K07	sample	sample	653.717078266	757.493336562	705.605207414	103.776258296	2.02	1.85	7.474	5.339	3895	KTN1	s8035
2	383	6.33	P23	sikiller	sikiller	794.681258482	782.45909983	788.570179156	-12.222158652	2.39	2.05	7.651	5	NA	NA	NA
6	384	6.32	P24	pos	pos	638.538195083	845.505423077	742.02180908	206.967227994	1.92	2.26	5.812	6.822	NA	NA	NA
1	192	6.21	H24	pos	pos	649.234197067	827.271815488	738.2530062775	178.037618421	1.88	2.12	5.629	6.791	NA	NA	NA
1	384	6.2	P24	pos	pos	674.008865021	938.684707493	806.346786257	264.675842472	1.95	2.41	5.238	7.168	NA	NA	NA
7	7	6.13	A07	sample	sample	682.388119445	878.079005467	780.233562456	195.690886022	1.98	1.99	6.98	5.287	113130	CDCA5	s41425
2	99	6.11	E03	sample	sample	659.627747803	918.636194958	789.1319713805	259.008447155	1.98	2.4	5.631	6.587	2138	EYA1	s4904
6	288	6.06	L24	pos	pos	586.057972302	813.212753648	699.635362975	227.154781346	1.76	2.17	5.462	6.665	NA	NA	NA
6	42	6	B18	sample	sample	602.139503742	741.640811389	671.8901575655	139.501307647	1.81	1.98	5.825	6.17	151393	FAM82A1	s45563
4	340	5.95	O04	sample	sample	677.758263886	948.836658116	813.297461001	271.07839423	2.07	2	6.142	5.763	158880	USP51	s46136
3	350	5.92	O14	sample	sample	445.514173101	431.951701859	438.73293748	-13.562471242	1.56	1.38	9.181	2.662	23476	BRD4	s23901
8	383	5.89	P23	sikiller	sikiller	517.657651063	878.973117172	698.3153841175	361.315466109	1.6	2.14	4.526	7.259	NA	NA	NA
4	96	5.85	D24	pos	pos	533.543629524	910.942173479	722.2429015015	377.398543955	1.63	1.92	5.425	6.276	NA	NA	NA
5	95	5.82	D23	sikiller	sikiller	551.862148483	719.460777674	635.6614630785	167.598629191	1.85	1.93	5.501	6.144	NA	NA	NA
3	324	5.81	N12	sample	sample	622.65464557	623.6896784	623.172161985	1.03503283000009	2.18	2	7.035	4.594	5431	POLR2B	s10798
1	239	5.8	J23	sikiller	sikiller	699.578514076	800.698005746	750.138259911	101.11949167	2.02	2.06	6.385	5.224	NA	NA	NA
6	239	5.78	J23	sikiller	sikiller	667.122001764	637.556334895	652.3391683295	-29.565666869	2.01	1.7	7.445	4.114	NA	NA	NA
2	47	5.77	B23	sikiller	sikiller	525.19404581	969.744116477	747.4690811435	444.550070667	1.58	2.53	3.304	8.23	NA	NA	NA
5	47	5.74	B23	sikiller	sikiller	655.193048144	581.152373796	618.17271097	-74.040674348	2.19	1.56	7.571	3.911	NA	NA	NA
6	335	5.74	N23	sikiller	sikiller	550.638815691	887.394986663	719.016901177	336.756170972	1.66	2.37	4.165	7.317	NA	NA	NA
4	257	5.72	K17	sample	sample	578.239813233	884.594655634	731.4172344335	306.354842401	1.77	1.87	6.388	5.048	56164	STK31	s32038
6	299	5.66	M11	sample	sample	640.40802772	705.944538401	673.1762830605	65.5365106810001	1.93	1.88	6.33	4.987	4928	NUP98	s9782
5	383	5.64	P23	sikiller	sikiller	562.537773902	684.764208754	623.650991328	122.226434852	1.88	1.84	6.269	5.011	NA	NA	NA
8	48	5.63	B24	pos	pos	497.792167565	798.711137626	648.2516525955	300.918970061	1.54	1.95	4.47	6.798	NA	NA	NA
8	164	5.6	G20	sample	sample	535.741890253	831.871736184	683.8068132185	296.129845931	1.66	2.03	5.176	6.024	7172	TPMT	s14349
5	192	5.56	H24	pos	pos	550.397512325	796.512447987	673.454980156	246.114935662	1.84	2.14	4.606	6.507	NA	NA	NA
8	69	5.43	C21	sample	sample	546.156732219	711.842931401	628.99983181	165.686199182	1.69	1.73	6.009	4.855	8794	TNFRSF10C	s16755
5	96	5.41	D24	pos	pos	505.360753048	727.016270391	616.1885117195	221.655517343	1.69	1.95	4.564	6.261	NA	NA	NA
3	192	5.38	H24	pos	pos	540.054051143	558.170918556	549.1124848495	18.1168674129999	1.89	1.79	6.264	4.489	NA	NA	NA
8	384	5.35	P24	pos	pos	455.435111091	901.059653056	678.2473820735	445.624541965	1.41	2.2	3.108	7.587	NA	NA	NA
5	321	5.34	N09	sample	sample	540.351911194	769.066296235	654.7091037145	228.714385041	1.81	2.06	5.252	5.436	56970	ATXN7L3	s230630
7	320	5.24	N08	sample	sample	667.576395597	926.989179144	797.2827873705	259.412783547	1.93	2.1	5.862	4.618	57222	ERGIC1	s195318
7	47	5.22	B23	sikiller	sikiller	610.649392865	888.012917312	749.3311550885	277.363524447	1.77	2.01	5.201	5.234	NA	NA	NA
2	177	5.2	H09	sample	sample	580.444717884	727.302558353	653.8736381185	146.857840469	1.75	1.9	4.807	5.594	55139	ANKZF1	s30259
5	144	5.19	F24	pos	pos	498.163105267	788.513827453	643.33846636	290.350722186	1.67	2.11	3.311	7.079	NA	NA	NA
6	324	5.19	N12	sample	sample	679.322118868	736.672033528	707.997076198	57.3499146600001	2.05	1.97	5.912	4.471	9972	NUP153	s19374
4	206	5.17	I14	sample	sample	595.200120798	846.393385195	720.7967529965	251.193264397	1.82	1.79	5.783	4.561	8450	CUL4B	s16043
5	287	5.16	L23	sikiller	sikiller	681.594353567	549.744562584	615.6694580755	-131.849790983	2.28	1.47	7.749	2.564	NA	NA	NA
5	143	5.15	F23	sikiller	sikiller	538.998305445	730.202994507	634.600649976	191.204689062	1.8	1.96	4.134	6.175	NA	NA	NA
3	144	5.12	F24	pos	pos	468.702944538	639.463711644	554.083328091	170.760767106	1.64	2.05	4.681	5.565	NA	NA	NA
3	33	5.1	B09	sample	sample	511.532570219	569.686798914	540.6096845665	58.154228695	1.79	1.83	5.341	4.852	26108	PYGO1	s25107
5	335	5.09	N23	sikiller	sikiller	694.668916366	559.525083646	627.097000006	-135.14383272	2.32	1.5	8.071	2.118	NA	NA	NA
1	336	5.09	N24	pos	pos	538.663213209	967.418961703	753.041087456	428.755748494	1.56	2.48	2.432	7.744	NA	NA	NA
5	252	5.08	K12	sample	sample	626.871740366	739.195342904	683.033541635	112.323602538	2.1	1.98	6.395	3.763	23429	RYBP	s23812
4	288	5.08	L24	pos	pos	591.223242033	852.35032773	721.7867848815	261.127085697	1.81	1.8	5.495	4.662	NA	NA	NA
6	48	5.07	B24	pos	pos	544.717039486	708.82112133	626.769080408	164.104081844	1.64	1.89	4.572	5.569	NA	NA	NA
6	144	5.07	F24	pos	pos	616.500933966	651.256949453	633.8789417095	34.7560154869999	1.86	1.74	5.753	4.379	NA	NA	NA
2	96	5.05	D24	pos	pos	569.386463085	770.6829349	670.0346989925	201.296471815	1.71	2.01	4.588	5.521	NA	NA	NA
4	336	5.04	N24	pos	pos	627.194694547	944.160557207	785.677625877	316.96586266	1.92	1.99	5.368	4.72	NA	NA	NA
8	287	5.03	L23	sikiller	sikiller	512.372741811	805.973528255	659.173135033	293.600786444	1.59	1.96	4.311	5.755	NA	NA	NA
4	67	5.02	C19	sample	sample	527.909650611	809.545162657	668.727406634	281.635512046	1.62	1.71	5.309	4.728	10943	MSL3	s223169
8	317	5	N05	sample	sample	622.942997458	747.68002416	685.311510809	124.737026702	1.93	1.82	5.793	4.205	10569	SLU7	s20742
3	302	4.98	M14	sample	sample	417.097140848	432.405033273	424.7510870605	15.307892425	1.46	1.39	8.405	1.551	23067	SETD1B	s22960
4	192	4.96	H24	pos	pos	574.159725321	782.161706511	678.160715916	208.00198119	1.76	1.65	5.729	4.195	NA	NA	NA
1	349	4.95	O13	sample	sample	659.55840542	699.66349718	679.6109513	40.1050917600001	1.91	1.8	5.641	4.26	7443	VRK1	s14820
2	288	4.93	L24	pos	pos	567.499570576	764.615317931	666.0574442535	197.115747355	1.71	2	4.357	5.506	NA	NA	NA
8	95	4.92	D23	sikiller	sikiller	559.614280021	693.322424451	626.468352236	133.70814443	1.73	1.69	5.458	4.385	NA	NA	NA
8	192	4.92	H24	pos	pos	456.573094975	856.997834422	656.7854646985	400.424739447	1.41	2.09	2.853	6.99	NA	NA	NA
3	326	4.92	N14	sample	sample	383.316907087	473.240884064	428.2788955755	89.923976977	1.34	1.52	7.713	2.12	5580	PRKCD	s11098
7	96	4.9	D24	pos	pos	625.057854072	787.403627878	706.230740975	162.345773806	1.81	1.78	5.45	4.35	NA	NA	NA
1	63	4.89	C15	sample	sample	582.603044452	749.712887377	666.1579659145	167.109842925	1.69	1.93	4.018	5.767	1788	DNMT3A	s200426
1	194	4.89	I02	sample	sample	598.423786129	766.901135637	682.662460883	168.477349508	1.73	1.97	4.64	5.145	10318	TNIP1	s20173
8	337	4.89	O01	sample	sample	616.685810346	761.188716371	688.9372633585	144.502906025	1.91	1.85	5.603	4.174	7514	XPO1	s14939
5	48	4.86	B24	pos	pos	479.265229428	696.450496853	587.8578631405	217.185267425	1.6	1.87	4.024	5.699	NA	NA	NA
1	288	4.85	L24	pos	pos	570.806308421	805.090480596	687.9483945085	234.284172175	1.65	2.07	3.557	6.152	NA	NA	NA
8	371	4.84	P11	sample	sample	545.34197429	646.094616988	595.718295639	100.752642698	1.69	1.57	5.671	4.01	53371	NUP54	s28726
6	147	4.8	G03	sample	sample	590.726435438	734.675305488	662.700870463	143.94887005	1.78	1.96	5.308	4.293	57062	DDX24	s32631
7	366	4.79	P06	sample	sample	639.56510889	922.202612981	780.8838609355	282.637504091	1.85	2.09	4.609	4.977	54968	TMEM70	s29879
3	336	4.79	N24	pos	pos	519.774464881	609.827446333	564.800955607	90.052981452	1.82	1.95	5.194	4.392	NA	NA	NA
7	277	4.78	L13	sample	sample	612.167429956	888.802078264	750.48475411	276.634648308	1.77	2.01	4.958	4.607	3684	ITGAM	s7566
8	240	4.76	J24	pos	pos	377.425731102	931.265258108	654.345494605	553.839527006	1.17	2.27	1.627	7.893	NA	NA	NA
5	288	4.76	L24	pos	pos	513.865777689	716.36784463	615.1168111595	202.502066941	1.72	1.92	4.367	5.148	NA	NA	NA
2	192	4.75	H24	pos	pos	566.445977999	751.141019966	658.7934989825	184.695041967	1.7	1.96	4.445	5.062	NA	NA	NA
1	48	4.75	B24	pos	pos	607.671267583	699.846935837	653.75910171	92.175668254	1.76	1.8	4.505	4.989	NA	NA	NA
4	22	4.74	A22	sample	sample	559.324052497	722.966648359	641.145350428	163.642595862	1.71	1.53	4.917	4.567	152098	ZCWPW2	s45655
1	96	4.73	D24	pos	pos	579.184836619	735.555976496	657.3704065575	156.371139877	1.68	1.89	4.22	5.232	NA	NA	NA
2	245	4.7	K05	sample	sample	557.506143363	799.327668946	678.4169061545	241.821525583	1.68	2.09	4.048	5.348	5927	KDM5A	s11835
6	336	4.67	N24	pos	pos	524.29185898	779.864628599	652.0782437895	255.572769619	1.58	2.08	3.627	5.719	NA	NA	NA
3	288	4.66	L24	pos	pos	592.32630532	493.034802024	542.680553672	-99.291503296	2.07	1.58	6.515	2.809	NA	NA	NA
