plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
2	216	6.25	I24	sikiller	sikiller	1692.76660988	925.612519966	1309.189564923	-767.154089914	2.01	0.956	12.825	-0.334	NA	NA	NA
5	321	5.47	N09	sample	sample	1034.57859284	1398.76537314	1216.67198299	364.1867803	1.48	1.5	5.955	4.983	56970	ATXN7L3	s230630
1	364	4.52	P04	sample	sample	1261.71838875	1383.89865053	1322.80851964	122.18026178	1.57	1.43	5.355	3.685	6601	SMARCC2	s13150
4	100	4.35	E04	sample	sample	1315.49801938	1385.24002463	1350.369022005	69.7420052500001	1.37	1.48	4.21	4.488	1487	CTBP1	s3699
2	373	4.22	P13	sample	sample	1077.30737076	1236.14725231	1156.727311535	158.83988155	1.28	1.28	4.317	4.131	79960	PHF17	s36726
7	3	3.91	A03	sample	sample	1042.479388	1316.56795422	1179.52367111	274.08856622	1.61	1.69	3.006	4.821	7112	TMPO	s14234
2	146	3.71	G02	sample	sample	1095.58963069	1387.47620535	1241.53291802	291.88657466	1.3	1.43	4.033	3.395	9739	SETD1A	s18790
1	194	3.64	I02	sample	sample	1202.86798394	1485.51864384	1344.19331389	282.6506599	1.49	1.54	3.996	3.283	10318	TNIP1	s20173
8	306	3.63	M18	sample	sample	210.356300985	1057.53892887	633.9476149275	847.182627885	1.33	1.36	3.747	3.51	5111	PCNA	s10135
5	315	3.32	N03	sample	sample	1025.55344358	1414.47172522	1220.0125844	388.91828164	1.47	1.52	3.845	2.79	54880	BCOR	s226797
6	370	3.17	P10	sample	sample	894.889658791	1134.03851758	1014.4640881855	239.148858789	1.28	1.34	2.843	3.502	160418	TMTC3	s46197
3	124	3.16	F04	sample	sample	1139.44980432	1273.29883501	1206.374319665	133.84903069	1.34	1.5	2.797	3.524	91133	L3MBTL4	s40576
8	175	3.15	H07	sample	sample	192.59126516	1066.35775707	629.474511115	873.76649191	1.21	1.37	2.529	3.767	10890	RAB10	s21392
4	105	3.08	E09	sample	sample	1184.87893732	1191.10664972	1187.99279352	6.22771239999997	1.24	1.27	3.119	3.05	11240	PADI2	s223214
8	203	3.04	I11	sample	sample	209.061336242	1023.9448498	616.503093021	814.883513558	1.32	1.31	3.024	3.055	10762	NUP50	s21140
5	275	3.03	L11	sample	sample	851.019664983	1042.57442062	946.7970428015	191.554755637	1.22	1.12	4.033	2.023	23429	RYBP	s23813
2	206	3.02	I14	sample	sample	1024.48068703	1162.18556256	1093.333124795	137.70487553	1.21	1.2	2.933	3.115	10498	CARM1	s20577
2	330	3	N18	sample	sample	1015.2116008	1162.98190824	1089.09675452	147.77030744	1.2	1.2	3.231	2.764	5977	DPF2	s11931
1	101	2.99	E05	sample	sample	1131.6093643	1278.39086899	1205.000116645	146.78150469	1.4	1.32	3.675	2.306	2139	EYA2	s4908
5	59	2.98	C11	sample	sample	843.326186338	1164.24348805	1003.784837194	320.917301712	1.21	1.25	3.085	2.879	10285	SMNDC1	s20103
6	243	2.97	K03	sample	sample	924.632381884	1224.22245959	1074.427420737	299.590077706	1.33	1.44	2.853	3.096	23592	LEMD3	s24158
8	165	2.92	G21	sample	sample	206.782314774	765.919019713	486.3506672435	559.136704939	1.3	0.982	4.788	1.06	4000	LMNA	s8223
7	147	2.91	G03	sample	sample	1063.09052089	1146.67493089	1104.88272589	83.5844099999999	1.64	1.47	2.939	2.886	57062	DDX24	s32632
4	331	2.89	N19	sample	sample	1213.12920978	1056.03571383	1134.582461805	-157.09349595	1.27	1.13	3.744	2.035	80205	CHD9	s37051
3	330	2.86	N18	sample	sample	939.854647643	1045.61566483	992.7351562365	105.761017187	1.11	1.23	2.146	3.572	5977	DPF2	s11930
4	381	2.83	P21	sample	sample	1107.31514881	1006.67774463	1056.99644672	-100.63740418	1.16	1.08	2.972	2.693	84939	MUM1	s39711
3	216	2.83	I24	sikiller	sikiller	1320.20293183	702.306140041	1011.2545359355	-617.896791789	1.56	0.825	7.509	-1.857	NA	NA	NA
5	323	2.82	N11	sample	sample	828.476438604	1137.36846961	982.922454107	308.892031006	1.19	1.22	3.195	2.448	79184	BRCC3	s35699
8	25	2.81	B01	sample	sample	242.210268298	1187.95415684	715.082212569	945.743888542	1.53	1.52	2.793	2.822	729857	RGPD2	s60233
2	121	2.78	F01	sample	sample	978.878229042	1294.93518791	1136.906708476	316.056958868	1.16	1.34	2.457	3.106	51564	HDAC7	s28335
1	19	2.78	A19	sample	sample	940.797500214	1102.67535123	1021.736425722	161.877851016	1.17	1.14	3.121	2.431	983	CDC2	s464
1	160	2.78	G16	sample	sample	915.041901593	1163.3249182	1039.1834098965	248.283016607	1.14	1.21	2.83	2.721	10013	HDAC6	s19459
8	62	2.77	C14	sample	sample	196.850496284	911.03125442	553.940875352	714.180758136	1.24	1.17	2.23	3.305	88	ACTN2	s970
4	265	2.74	L01	sample	sample	1188.52019884	1693.69030131	1441.105250075	505.17010247	1.24	1.81	2.099	3.378	55274	PHF10	s30606
5	101	2.74	E05	sample	sample	899.226127886	1279.86954364	1089.547835763	380.643415754	1.29	1.37	2.771	2.705	11168	PSIP1	s22036
1	220	2.73	J04	sample	sample	1118.90789874	1344.16364738	1231.53577306	225.25574864	1.39	1.39	2.561	2.896	254065	BRWD3	s48489
4	3	2.7	A03	sample	sample	1085.66488259	1446.29664501	1265.9807638	360.63176242	1.13	1.55	1.797	3.609	8165	AKAP1	s15665
2	293	2.69	M05	sample	sample	1135.66433212	1351.8516819	1243.75800701	216.18734978	1.35	1.4	3.344	2.044	6598	SMARCB1	s13142
5	137	2.66	F17	sample	sample	761.82222491	925.403209154	843.612717032	163.580984244	1.09	0.993	2.759	2.564	8289	ARID1A	s15785
4	96	2.65	D24	pos	pos	1094.55945309	1140.86415407	1117.71180358	46.30470098	1.14	1.22	2.1	3.203	NA	NA	NA
6	141	2.65	F21	sample	sample	881.682893318	864.992374337	873.3376338275	-16.690518981	1.26	1.02	2.858	2.441	2733	GLE1	s5808
7	340	2.64	O04	sample	sample	1158.74419882	938.689246095	1048.7167224575	-220.054952725	1.79	1.21	5.08	0.191	51652	VPS24	s28474
1	109	2.63	E13	sample	sample	968.827728733	1141.21722818	1055.0224784565	172.389499447	1.2	1.18	2.859	2.407	2186	BPTF	s5010
8	110	2.61	E14	sample	sample	192.897616867	811.975256298	502.4364365825	619.077639431	1.22	1.04	2.699	2.526	23335	WDR7	s23592
5	201	2.55	I09	sample	sample	841.109479613	1186.1079325	1013.6087060565	344.998452887	1.21	1.27	2.292	2.809	51742	ARID4B	s28602
3	242	2.54	K02	sample	sample	1079.96936555	1344.97270671	1212.47103613	265.00334116	1.27	1.58	1.854	3.22	10847	SRCAP	s21295
1	22	2.53	A22	sample	sample	723.160301144	1118.30642908	920.733365112	395.146127936	0.897	1.16	1.683	3.383	8535	CBX4	s16233
8	111	2.5	E15	sample	sample	185.643083166	810.022990259	497.8330367125	624.379907093	1.17	1.04	2.882	2.126	51009	DERL2	s27228
7	366	2.5	P06	sample	sample	932.566842945	1034.51392583	983.5403843875	101.947082885	1.44	1.33	2.994	2.01	54968	TMEM70	s29879
8	152	2.48	G08	sample	sample	222.355949196	1029.30929344	625.832621318	806.953344244	1.4	1.32	3.27	1.692	8379	MAD1L1	s15906
3	105	2.47	E09	sample	sample	1041.41828767	1006.65584117	1024.03706442	-34.7624464999999	1.23	1.18	2.69	2.251	2145	EZH1	s4913
6	205	2.44	I13	sample	sample	925.771216136	878.607959717	902.1895879265	-47.163256419	1.33	1.04	3.495	1.388	81565	NDEL1	s37641
6	195	2.44	I03	sample	sample	800.605906217	1117.35553391	958.9807200635	316.749627693	1.15	1.32	2.026	2.855	3838	KPNA2	s7920
5	242	2.43	K02	sample	sample	1002.25527089	1389.83629776	1196.045784325	387.58102687	1.44	1.49	3.174	1.684	9960	USP3	s19343
