plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	GeneID	GeneSymbol	siRNAID
7	272	4.72	L08	sample	sample	930	978	954	48	2.2	2.07	4.892	4.556	6856	SYPL1	s13692
4	319	4.57	N07	sample	sample	937	783	860	-154	1.88	1.72	4.635	4.508	57661	PHRF1	s33543
7	352	3.95	O16	sample	sample	845	937	891	92	2	1.99	4.292	3.614	10195	ALG3	s19866
1	284	3.93	L20	sample	sample	1018	943	980.5	-75	2	2.16	3.52	4.342	4299	AFF1	s8825
3	193	3.85	I01	sample	sample	891	776	833.5	-115	1.79	1.8	3.661	4.038	4204	MECP2	s8646
2	66	3.61	C18	sample	sample	825	730	777.5	-95	1.61	1.7	3.125	4.087	8986	RPS6KA4	s17140
3	25	3.51	B01	sample	sample	726	590	658	-136	1.45	1.37	3.874	3.144	25855	BRMS1	s24632
2	316	3.25	N04	sample	sample	762	717	739.5	-45	1.49	1.67	2.923	3.568	4674	NAP1L2	s9270
2	55	3.2	C07	sample	sample	767	653	710	-114	1.5	1.52	2.713	3.678	1387	CREBBP	s3495
5	240	3.15	J24	pos	pos	674	777	725.5	103	1.51	1.58	2.97	3.332	NA	NA	NA
2	320	3.15	N08	sample	sample	787	737	762	-50	1.53	1.71	2.782	3.51	4998	ORC1L	s9893
7	318	3.14	N06	sample	sample	832	868	850	36	1.96	1.84	3.303	2.984	23516	SLC39A14	s23980
8	162	3.14	G18	sample	sample	759	750	754.5	-9	1.72	1.62	3.357	2.915	55850	USE1	s31660
7	60	3.13	C12	sample	sample	893	836	864.5	-57	2.11	1.77	3.446	2.807	60	ACTB	s230681
5	338	3.07	O02	sample	sample	720	776	748	56	1.61	1.58	3.186	2.956	151636	DTX3L	s45593
7	322	2.84	N10	sample	sample	711	845	778	134	1.68	1.79	2.566	3.108	203547	NA	s47527
5	327	2.82	N15	sample	sample	802	809	805.5	7	1.8	1.65	3.45	2.191	84678	KDM2B	s39306
6	248	2.79	K08	sample	sample	795	786	790.5	-9	1.82	1.63	3.1	2.471	400966	RGPD1	s53432
8	174	2.73	H06	sample	sample	803	816	809.5	13	1.82	1.76	2.759	2.708	64091	POPDC2	s34417
8	265	2.68	L01	sample	sample	612	841	726.5	229	1.38	1.82	1.932	3.421	6890	TAP1	s13780
1	317	2.55	N05	sample	sample	695	655	675	-40	1.36	1.5	2.426	2.667	64324	NSD1	s34630
8	322	2.5	N10	sample	sample	740	729	734.5	-11	1.67	1.58	2.476	2.525	203547	NA	s47528
7	32	2.5	B08	sample	sample	636	646	641	10	1.5	1.37	3.346	1.646	64598	MOSPD3	s34793
5	16	2.5	A16	sample	sample	598	642	620	44	1.34	1.31	2.569	2.422	126668	TDRD10	s225577
7	189	2.49	H21	sample	sample	725	757	741	32	1.71	1.6	2.793	2.189	29095	ORMDL2	s26475
1	277	2.49	L13	sample	sample	773	712	742.5	-61	1.52	1.63	2.158	2.824	58508	KMT2C	s33890
6	329	2.49	N17	sample	sample	800	801	800.5	1	1.83	1.66	2.61	2.364	57132	CHMP1B	s32751
2	10	2.48	A10	sample	sample	644	666	655	22	1.26	1.55	1.876	3.092	8242	JARID1C	s15750
6	339	2.48	O03	sample	sample	738	809	773.5	71	1.69	1.67	2.781	2.174	3937	LCP2	s8118
3	358	2.47	O22	sample	sample	662	557	609.5	-105	1.33	1.29	2.218	2.718	23774	BRD1	s24388
2	67	2.47	C19	sample	sample	686	649	667.5	-37	1.34	1.51	1.694	3.237	2033	EP300	s4697
3	77	2.46	D05	sample	sample	705	725	715	20	1.41	1.68	1.445	3.484	29994	BAZ2B	s26867
8	8	2.46	A08	sample	sample	733	774	753.5	41	1.66	1.67	2.56	2.36	7586	ZKSCAN1	s15083
2	238	2.45	J22	sample	sample	805	639	722	-166	1.57	1.49	2.458	2.448	2073	ERCC5	s4802
3	356	2.43	O20	sample	sample	604	601	602.5	-3	1.21	1.39	1.737	3.125	23613	ZMYND8	s223618
3	300	2.42	M12	sample	sample	638	667	652.5	29	1.28	1.55	2.052	2.794	23030	KDM4B	s229326
2	354	2.41	O18	sample	sample	686	552	619	-134	1.34	1.28	2.773	2.043	23522	KAT6B	s23998
4	219	2.41	J03	sample	sample	727	785	756	58	1.46	1.73	2.002	2.811	51412	ACTL6B	s28105
5	219	2.4	J03	sample	sample	641	647	644	6	1.44	1.32	2.458	2.34	7324	UBE2E1	s561
4	337	2.38	O01	sample	sample	627	562	594.5	-65	1.26	1.24	2.412	2.351	80816	ASXL3	s37401
5	162	2.38	G18	sample	sample	609	781	695	172	1.36	1.59	1.837	2.922	6314	ATXN7	s12494
7	76	2.33	D04	sample	sample	807	687	747	-120	1.91	1.46	3.224	1.435	100101267	POM121C	s230424
6	63	2.31	C15	sample	sample	797	838	817.5	41	1.83	1.73	2.684	1.945	255330	C3orf46	s48651
2	352	2.29	O16	sample	sample	699	624	661.5	-75	1.36	1.45	2.39	2.19	23492	CBX7	s23927
2	62	2.28	C14	sample	sample	618	626	622	8	1.2	1.46	1.5	3.066	8930	MBD4	s17078
2	59	2.27	C11	sample	sample	706	594	650	-112	1.38	1.38	2.092	2.456	1786	DNMT1	s4215
2	77	2.25	D05	sample	sample	667	589	628	-78	1.3	1.37	2.108	2.384	29994	BAZ2B	s26865
6	172	2.22	H04	sample	sample	656	681	668.5	25	1.5	1.41	2.398	2.035	25840	METTL7A	s24596
8	240	2.21	J24	pos	pos	736	747	741.5	11	1.67	1.62	2.144	2.285	NA	NA	NA
1	218	2.2	J02	sample	sample	754	705	729.5	-49	1.48	1.62	2.464	1.935	254013	C12orf72	s226007
8	88	2.2	D16	sample	sample	691	740	715.5	49	1.56	1.6	1.347	3.048	64431	ACTR6	s34757
8	101	2.2	E05	sample	sample	666	678	672	12	1.51	1.47	2.382	2.01	25777	SUN2	s24467
6	192	2.2	H24	pos	pos	638	735	686.5	97	1.46	1.52	2.004	2.389	NA	NA	NA
1	67	2.19	C19	sample	sample	722	601	661.5	-121	1.42	1.38	2.302	2.075	2033	EP300	s4696
4	139	2.18	F19	sample	sample	651	689	670	38	1.3	1.52	1.612	2.745	23338	PHF15	s23597
6	290	2.17	M02	sample	sample	543	553	548	10	1.25	1.14	2.29	2.058	27230	SERP1	s25992
3	357	2.17	O21	sample	sample	674	504	589	-170	1.35	1.17	2.33	2.011	7994	MYST3	s15534
6	193	2.17	I01	sample	sample	790	835	812.5	45	1.81	1.73	2.258	2.079	1962	EHHADH	s4549
5	343	2.17	O07	sample	sample	479	668	573.5	189	1.07	1.36	1.607	2.728	84261	FBXW9	s38753
6	12	2.16	A12	sample	sample	644	736	690	92	1.48	1.52	1.953	2.376	51522	TMEM14C	s28255
7	275	2.16	L11	sample	sample	660	610	635	-50	1.56	1.29	2.328	1.995	285877	NA	s50051
3	204	2.16	I12	sample	sample	730	666	698	-64	1.46	1.55	1.852	2.463	10474	TADA3	s20508
6	74	2.13	D02	sample	sample	618	606	612	-12	1.42	1.25	2.397	1.854	64151	NCAPG	s34513
7	165	2.11	G21	sample	sample	671	687	679	16	1.58	1.46	2.497	1.725	4000	LMNA	s8222
8	156	2.11	G12	sample	sample	695	754	724.5	59	1.57	1.63	1.882	2.332	85365	ALG2	s39930
8	336	2.11	N24	pos	pos	705	657	681	-48	1.6	1.42	2.239	1.973	NA	NA	NA
3	97	2.11	E01	sample	sample	719	672	695.5	-47	1.44	1.56	1.801	2.41	2122	EVI1	s4874
7	346	2.1	O10	sample	sample	507	787	647	280	1.2	1.67	1.564	2.645	55151	TMEM38B	s30293
8	316	2.1	N04	sample	sample	663	681	672	18	1.5	1.47	2.209	1.996	2222	FDFT1	s140
2	53	2.1	C05	sample	sample	604	577	590.5	-27	1.18	1.34	1.317	2.888	1386	ATF2	s3493
8	118	2.1	E22	sample	sample	716	779	747.5	63	1.62	1.68	1.936	2.26	5630	PRPH	s11232
8	96	2.09	D24	pos	pos	683	700	691.5	17	1.55	1.51	1.942	2.234	NA	NA	NA
2	353	2.07	O17	sample	sample	562	560	561	-2	1.1	1.3	1.935	2.201	7799	PRDM2	s229620
8	269	2.06	L05	sample	sample	617	612	614.5	-5	1.4	1.32	2.178	1.952	93380	MMGT1	s41131
5	297	2.06	M09	sample	sample	684	681	682.5	-3	1.53	1.39	2.458	1.671	57680	CHD8	s33581
4	68	2.05	C20	sample	sample	661	714	687.5	53	1.32	1.57	1.285	2.824	100137047	JMJD7	s230103
6	138	2.04	F18	sample	sample	733	772	752.5	39	1.68	1.6	2.149	1.94	7466	WFS1	s14856
6	247	2.04	K07	sample	sample	679	688	683.5	9	1.56	1.42	2.338	1.749	3895	KTN1	s8033
8	381	2.03	P21	sample	sample	746	696	721	-50	1.69	1.5	2.55	1.52	11284	PNKP	s22288
4	211	2.02	I19	sample	sample	682	612	647	-70	1.37	1.35	2.126	1.922	55063	ZCWPW1	s30084
4	357	2.01	O21	sample	sample	555	553	554	-2	1.11	1.22	2.378	1.648	84939	MUM1	s39710
4	189	2.01	H21	sample	sample	767	682	724.5	-85	1.54	1.5	2.437	1.581	51105	PHF20L1	s27444
5	239	1.99	J23	neg	neg	589	607	598	18	1.32	1.24	2.095	1.89	NA	NA	NA
5	205	1.99	I13	sample	sample	667	639	653	-28	1.49	1.3	2.58	1.396	54617	INO80	s224310
4	106	1.99	E10	sample	sample	763	669	716	-94	1.53	1.47	1.755	2.219	4665	NAB2	s226682
2	220	1.98	J04	sample	sample	722	588	655	-134	1.41	1.37	2.243	1.725	254065	BRWD3	s48490
2	356	1.98	O20	sample	sample	601	480	540.5	-121	1.17	1.12	2.217	1.745	23613	ZMYND8	s223617
2	357	1.98	O21	sample	sample	600	536	568	-64	1.17	1.25	2.1	1.857	7994	MYST3	s15532
5	199	1.97	I07	sample	sample	597	609	603	12	1.34	1.24	2.436	1.507	51702	PADI3	s28546
6	157	1.96	G13	sample	sample	639	669	654	30	1.47	1.39	2.143	1.77	10313	RTN3	s20161
8	192	1.95	H24	pos	pos	664	721	692.5	57	1.5	1.56	1.8	2.108	NA	NA	NA
1	283	1.95	L19	sample	sample	771	643	707	-128	1.51	1.47	1.77	2.124	63925	ZNF335	s34278
2	217	1.94	J01	sample	sample	810	714	762	-96	1.58	1.66	2.015	1.861	55683	KIAA1310	s31243
7	30	1.93	B06	sample	sample	647	659	653	12	1.53	1.4	2.628	1.23	27238	GPKOW	s26013
7	235	1.93	J19	sample	sample	676	692	684	16	1.6	1.47	1.941	1.911	7726	TRIM26	s15229
8	187	1.92	H19	sample	sample	674	695	684.5	21	1.52	1.5	1.953	1.887	54491	FAM105A	s29069
3	122	1.92	F02	sample	sample	662	665	663.5	3	1.33	1.54	1.613	2.224	90826	PRMT10	s40500
2	8	1.89	A08	sample	sample	676	559	617.5	-117	1.32	1.3	2.034	1.745	8202	NCOA3	s15700
4	54	1.89	C06	sample	sample	767	658	712.5	-109	1.54	1.45	2.093	1.685	163589	TDRD5	s46462
1	373	1.88	P13	sample	sample	585	615	600	30	1.15	1.41	1.796	1.972	79960	PHF17	s36724
3	240	1.85	J24	pos	pos	715	579	647	-136	1.43	1.34	2.008	1.688	NA	NA	NA
7	304	1.84	M16	sample	sample	619	703	661	84	1.46	1.49	1.857	1.828	84975	MFSD5	s39789
2	382	1.84	P22	sample	sample	641	663	652	22	1.25	1.54	1.051	2.626	7703	PCGF2	s15196
5	31	1.83	B07	sample	sample	605	695	650	90	1.35	1.42	1.885	1.765	112885	PHF21B	s41395
8	248	1.81	K08	sample	sample	662	715	688.5	53	1.5	1.55	1.914	1.709	400966	RGPD1	s229372
7	302	1.81	M14	sample	sample	606	684	645	78	1.43	1.45	1.874	1.745	27127	SMC1B	s25865
3	162	1.81	G18	sample	sample	789	696	742.5	-93	1.58	1.61	1.465	2.153	10014	HDAC5	s19464
4	52	1.81	C04	sample	sample	672	618	645	-54	1.35	1.36	1.57	2.046	158358	KIAA2026	s225765
3	30	1.8	B06	sample	sample	648	459	553.5	-189	1.3	1.06	2.395	1.21	80854	SETD7	s37451
5	192	1.8	H24	pos	pos	700	677	688.5	-23	1.57	1.38	1.977	1.618	NA	NA	NA
5	336	1.79	N24	pos	pos	660	714	687	54	1.48	1.46	1.961	1.627	NA	NA	NA
1	60	1.79	C12	sample	sample	678	591	634.5	-87	1.33	1.36	2.04	1.547	8850	KAT2B	s16894
4	158	1.79	G14	sample	sample	713	658	685.5	-55	1.43	1.45	1.394	2.19	4591	TRIM37	s9083
5	319	1.79	N07	sample	sample	571	646	608.5	75	1.28	1.32	1.906	1.672	56943	ENY2	s32449
5	237	1.79	J21	sample	sample	667	623	645	-44	1.49	1.27	2.003	1.572	9958	USP15	s19339
3	27	1.79	B03	sample	sample	533	422	477.5	-111	1.07	0.979	2.309	1.263	25942	SIN3A	s24799
5	14	1.79	A14	sample	sample	675	701	688	26	1.51	1.43	2.255	1.317	124359	CDYL2	s42723
5	96	1.78	D24	pos	pos	678	731	704.5	53	1.52	1.49	1.936	1.631	NA	NA	NA
3	153	1.77	G09	sample	sample	813	667	740	-146	1.63	1.55	1.88	1.665	3276	PRMT1	s6919
6	294	1.77	M06	sample	sample	593	635	614	42	1.36	1.31	1.635	1.902	51225	ABI3	s27709
8	288	1.77	L24	pos	pos	637	662	649.5	25	1.44	1.43	1.601	1.932	NA	NA	NA
6	116	1.76	E20	sample	sample	610	651	630.5	41	1.4	1.35	1.785	1.744	55266	TMEM19	s30587
8	250	1.75	K10	sample	sample	675	668	671.5	-7	1.53	1.44	2.073	1.437	56895	AGPAT4	s32333
3	301	1.75	M13	sample	sample	562	561	561.5	-1	1.13	1.3	1.324	2.182	6795	AURKC	s13584
6	240	1.74	J24	pos	pos	695	737	716	42	1.59	1.53	1.573	1.915	NA	NA	NA
2	365	1.74	P05	sample	sample	675	610	642.5	-65	1.32	1.42	1.519	1.956	79831	JMJD5	s36432
4	339	1.74	O03	sample	sample	463	603	533	140	0.928	1.33	1.076	2.395	81550	TDRD3	s37606
8	308	1.73	M20	sample	sample	577	649	613	72	1.31	1.4	1.523	1.944	26993	AKAP8L	s25669
3	230	1.73	J14	sample	sample	683	611	647	-72	1.37	1.42	1.417	2.039	1105	CHD1	s2976
7	163	1.7	G19	sample	sample	654	632	643	-22	1.54	1.34	2.007	1.401	5002	SLC22A18	s9905
2	291	1.7	M03	sample	sample	685	569	627	-116	1.34	1.32	1.769	1.638	6597	SMARCA4	s13141
6	60	1.7	C12	sample	sample	671	691	681	20	1.54	1.43	1.782	1.618	60	ACTB	s230680
3	59	1.7	C11	sample	sample	675	561	618	-114	1.35	1.3	1.372	2.027	1786	DNMT1	s4216
4	377	1.7	P17	sample	sample	673	616	644.5	-57	1.35	1.36	1.518	1.88	84717	HDGFRP2	s39376
7	315	1.7	N03	sample	sample	641	634	637.5	-7	1.51	1.34	1.918	1.477	221496	LEMD2	s48071
3	262	1.7	K22	sample	sample	665	573	619	-92	1.33	1.33	1.311	2.084	11262	SP140	s22240
8	121	1.69	F01	sample	sample	663	655	659	-8	1.5	1.42	2.135	1.248	84522	JAGN1	s39102
1	225	1.69	J09	sample	sample	666	642	654	-24	1.31	1.47	1.469	1.913	55869	HDAC8	s31697
1	159	1.69	G15	sample	sample	700	573	636.5	-127	1.37	1.31	1.854	1.522	3622	ING2	s7431
4	12	1.68	A12	sample	sample	701	623	662	-78	1.4	1.37	2.121	1.249	122402	TDRD9	s42531
