ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei - Number of Objects	Nuclei - Nuclei Selected - Mean per Well	Nuclei Selected - Number of Objects	Nuclei Selected - Nucleus Area [µm²] - Mean per Well	Nuclei Selected - Nucleus Roundness - Mean per Well	Nuclei Selected - Nucleus Width [µm] - Mean per Well	Nuclei Selected - Nucleus Length [µm] - Mean per Well	Nuclei Selected - Nucleus Ratio Width to Length - Mean per Well	Nuclei Selected - Intensity Nucleus Green Mean - Mean per Well	Nuclei Selected - Intensity Nucleus Red Mean - Mean per Well	Number of Analyzed Fields	Link
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A1	1	1	1	1	740	0.77972972973	577	215.712222237	0.962571709786	13.4274899923	18.8085145286	0.716717982219	417.741870132	480.264004887	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.1
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A2	1	2	1	1	423	0.716312056738	303	281.355961904	0.942701731041	15.6154546698	21.2919857895	0.737537551606	402.633422796	579.31231183	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.2
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A3	1	3	1	1	904	0.783185840708	708	197.023360169	0.958831807569	12.7784859157	18.0581301192	0.712075714756	351.456455146	409.642477902	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.3
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A4	1	4	1	1	1348	0.782640949555	1055	191.774863502	0.960370310793	12.5168793065	17.7656921765	0.708697928328	261.694221892	309.773239863	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.4
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A5	1	5	1	1	1619	0.802347127857	1299	182.626859701	0.947149696187	12.0875194759	17.4735755341	0.693099803351	254.430314928	282.443444665	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.5
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A6	1	6	1	1	1653	0.821536600121	1358	175.031920451	0.968069478216	12.1794021732	16.6979781872	0.73264834695	241.536586366	267.982890788	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.6
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A7	1	7	1	1	281	0.768683274021	216	242.401237493	0.875811413448	12.9682605189	20.7746540281	0.633078159698	498.146567214	682.388119445	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.7
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A8	1	8	1	1	453	0.78587196468	356	240.260638824	0.977381937831	14.9450164839	19.1807959552	0.781486521571	359.546206922	541.460264631	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.8
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A9	1	9	1	1	625	0.7888	493	232.106323489	0.96033823218	13.7890859592	19.7314376379	0.703785481972	351.442115905	471.435235445	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.9
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A10	1	10	1	1	1248	0.805288461538	1005	181.601005869	0.965482148376	12.3117010727	17.0641750496	0.724514683069	246.97184264	296.14740056	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.10
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A11	1	11	1	1	1248	0.791666666667	988	212.317797102	0.96033361047	13.5404967689	18.375261284	0.739795964651	260.639015817	315.455901199	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.11
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A12	1	12	1	1	684	0.777777777778	532	216.228119524	0.94064502825	12.8702966864	19.4426015883	0.66960312707	342.234197119	456.063882874	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.12
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A13	1	13	1	1	1302	0.800307219662	1042	186.647502678	0.944429677562	12.2533892806	17.7351024978	0.696362571613	259.678906052	304.369854553	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.13
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A14	1	14	1	1	1381	0.787110789283	1087	190.419425263	0.963933222497	12.6188597549	17.5178311359	0.724073041476	245.497969067	309.441312633	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.14
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A15	1	15	1	1	1469	0.833900612662	1225	150.7289719	0.962440772709	11.1511211127	15.6831803541	0.716034752696	266.693661421	287.117019545	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.15
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A16	1	16	1	1	585	0.781196581197	457	280.171246053	0.955185017599	15.2063427871	21.4792497338	0.710427218171	309.827615731	475.340862818	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.16
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A17	1	17	1	1	1596	0.817042606516	1304	167.134809784	0.962931770714	11.7715499069	16.4726942748	0.719677493864	241.903052053	271.348166361	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.17
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A18	1	18	1	1	1343	0.79374534624	1066	183.470248164	0.967017682458	12.4955623379	17.0721184699	0.734810593728	249.204333942	310.274545873	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.18
161212_Epi_Env_Screen_Batch1	2146	HTIF00049	2668	2016-12-12T19:05:37Z	2595	A19	1	19	1	1	1593	0.817953546767	1303	156.347643535	0.957087121501	11.336020788	16.0014960331	0.713803274617	242.42876433	270.523543418	30	http://columbus.nci.nih.gov/browse/measurement/2595/well=1.19
