GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
4000	8	G21	-3.94	1	3	3.11682626597202e-08	1	3	3	100	4000	LMNA	s8223	TRUE	TRUE
4000	6	G21	-3.77	2	4	3.11682626597202e-08	1	3	3	100	4000	LMNA	s8221	TRUE	TRUE
4000	7	G21	-3.35	3	10	3.11682626597202e-08	1	3	3	100	4000	LMNA	s8222	TRUE	TRUE
57661	4	N07	-5.12	4	1	8.84451400073996e-05	1	2	3	67	57661	PHRF1	s33543	TRUE	TRUE
57661	4	M07	-3.06	5	15	8.84451400073996e-05	1	2	3	67	57661	PHRF1	s33542	TRUE	TRUE
1387	2	C07	-2.13	6	43	0.000644433700074766	1	3	3	100	1387	CREBBP	s3495	TRUE	TRUE
1387	1	C07	-1.62	7	106	0.000644433700074766	1	3	3	100	1387	CREBBP	s3497	TRUE	TRUE
1387	3	C07	-1.16	8	247	0.000644433700074766	1	3	3	100	1387	CREBBP	s3496	FALSE	TRUE
400966	8	K08	-2.08	31	51	0.00547807514484443	1	2	3	67	400966	RGPD1	s229372	TRUE	TRUE
400966	6	K08	-1.54	32	124	0.00547807514484443	1	2	3	67	400966	RGPD1	s53432	TRUE	TRUE
64324	2	N05	-2.29	182	34	0.0348199739745838	1	3	3	100	64324	NSD1	s34629	TRUE	TRUE
64324	1	N05	-1.75	183	79	0.0348199739745838	1	3	3	100	64324	NSD1	s34630	TRUE	TRUE
64324	3	N05	-0.39	184	920	0.0348199739745838	1	3	3	100	64324	NSD1	s34631	FALSE	TRUE
22976	1	M06	-3.58	295	5	0.0512668594379384	1	3	3	100	22976	PAXIP1	s22748	TRUE	TRUE
22976	3	M06	-1.61	296	108	0.0512668594379384	1	3	3	100	22976	PAXIP1	s22750	TRUE	TRUE
22976	2	M06	-0.26	297	1057	0.0512668594379384	1	3	3	100	22976	PAXIP1	s22749	FALSE	TRUE
170575	8	I05	-2.6	357	25	0.066009393391262	1	3	3	100	170575	GIMAP1	s46830	TRUE	TRUE
170575	7	I05	-1.6	358	111	0.066009393391262	1	3	3	100	170575	GIMAP1	s46829	TRUE	TRUE
170575	6	I05	-0.18	359	1146	0.066009393391262	1	3	3	100	170575	GIMAP1	s46828	FALSE	TRUE
400966	7	K08	1.59	1985	1985	0.00547807514484443	0	2	3	67	400966	RGPD1	s229371	FALSE	TRUE
57661	5	M07	2.08	1985	1985	8.84451400073996e-05	0	2	3	67	57661	PHRF1	s33541	FALSE	TRUE
