ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei Selected - Number of Objects	Nuclei Selected - Nucleus Area [µm²] - Mean per Well	Nuclei Selected - Nucleus Roundness - Mean per Well	Nuclei Selected - Nucleus Width [µm] - Mean per Well	Nuclei Selected - Nucleus Length [µm] - Mean per Well	Nuclei Selected - Nucleus Ratio Width to Length - Mean per Well	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean - Mean per Well	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean - Mean per Well	Number of Analyzed Fields	Link
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A1	1	1	1	1	420	177.57991588	0.923453380497	11.1575893975	18.5414073278	0.603912769267	2771.18777753	278.1518644	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.1
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A2	1	2	1	1	337	192.477051099	0.963225828474	12.6585248289	17.9815169149	0.706441220419	1844.99362655	342.51147527	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.2
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A3	1	3	1	1	353	171.269800172	0.935979129936	11.2544953483	17.5398036119	0.643200884484	2334.52088342	306.058237507	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.3
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A4	1	4	1	1	287	251.487210083	0.944632439148	14.0822833227	20.9031896417	0.673083089954	1975.04917101	251.912729297	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.4
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A5	1	5	1	1	257	217.351942135	0.950179689722	13.2439424082	19.3825484894	0.687707406438	1784.4426452	301.828781196	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.5
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A6	1	6	1	1	373	191.342802693	0.965648670469	12.7626321119	17.6856306217	0.72393301615	2308.02661818	279.978797239	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.6
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A7	1	7	1	1	480	197.802836039	0.968450573215	13.0344632849	17.9888751992	0.726846720511	2258.82083621	251.088422819	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.7
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A8	1	8	1	1	243	235.819063906	0.965922002865	14.1013622346	19.8239306563	0.713554548601	2121.39493885	345.508529716	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.8
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A9	1	9	1	1	256	227.197444067	0.961283728976	13.6588196392	19.7426369667	0.6945628545	2308.18143162	346.567658904	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.9
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A10	1	10	1	1	498	193.512860663	0.947733168154	12.1886550743	18.4506350918	0.663507496291	3149.37709592	232.267628846	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.10
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A11	1	11	1	1	395	171.280821458	0.947075418502	11.5415544521	17.0150591377	0.678328503005	3033.92986914	302.632660772	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.11
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A12	1	12	1	1	613	181.531311449	0.955410114485	12.1138394739	17.668153638	0.688139423618	2953.5207646	243.745134512	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.12
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A13	1	13	1	1	391	202.536683025	0.939651821954	11.9368320929	19.89873817	0.600531973104	2246.77624668	338.834155957	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.13
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A14	1	14	1	1	434	221.754784433	0.959934819164	13.3675110118	19.7125715886	0.679538207567	2416.17829795	281.504180331	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.14
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A15	1	15	1	1	368	192.483433948	0.965223566836	12.6406427709	18.0247479254	0.702582916234	2677.40560328	303.930394363	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.15
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A16	1	16	1	1	143	199.546040062	0.934601060348	12.5532397023	18.6070643916	0.672912235427	1651.48135347	279.539338493	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.16
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A17	1	17	1	1	465	209.654651403	0.953324747574	12.9766070231	19.0873260493	0.682406615793	2666.04705933	252.308497508	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.17
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A18	1	18	1	1	445	200.584809166	0.937837698031	11.9792939863	19.782038683	0.610364459273	2087.00862017	266.060716165	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.18
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A19	1	19	1	1	285	158.843353155	0.925694493411	10.8686360118	16.6956945418	0.650930513464	1618.55152707	266.961374666	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.19
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A20	1	20	1	1	372	199.792191172	0.958097865509	12.7568340089	18.4350578331	0.696412181524	1682.78861593	296.121691225	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.20
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	A21	1	21	1	1	387	197.612039914	0.951568493205	12.1900237613	18.8913340097	0.647197089723	1981.83935988	321.227988302	30	http://columbus.nci.nih.gov/browse/measurement/3747/well=1.21
