ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	1	237	37	[210,19,261,55]	2	286.341	1895.64	0.616928	16.7815	10.353	0.956542	153.686
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	2	417	100	[394,83,450,117]	3	406.522	1532.55	0.559834	18.4929	10.353	0.925814	171.098
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	3	72	154	[42,130,100,178]	4	387.648	2057.87	0.650325	19.0757	12.4054	0.987597	205.401
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	4	176	176	[152,159,204,192]	5	321.519	1410.52	0.564433	17.1624	9.687	0.928506	141.487
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	5	654	219	[620,199,675,242]	6	384.016	1809.09	0.652544	18.5941	12.1335	0.975696	184.757
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	6	503	324	[476,306,541,342]	7	378.33	2213.72	0.526331	21.1099	11.1108	0.897821	206.652
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	7	305	351	[278,334,336,368]	8	361.004	1758.22	0.562492	19.0045	10.6899	0.913302	171.932
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	8	93	361	[68,336,118,387]	9	383.35	2057.21	0.747068	18.3173	13.6843	1.00342	205.401
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	9	241	404	[220,389,268,420]	10	415.916	2151.15	0.60227	15.832	9.53512	0.934754	129.913
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	1	1	1	10	497	425	[471,406,527,445]	11	463.026	2163.54	0.644489	18.6389	12.0126	0.960455	182.358
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	2	1	1	1	162	52	[135,25,193,79]	3	273.376	1594.85	0.738813	19.7207	14.5699	0.988687	241.372
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	2	1	1	2	344	93	[317,65,374,121]	4	234.664	1581.27	0.885963	19.2579	17.0618	1.00617	268.377
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	2	1	1	3	146	163	[120,145,169,183]	5	304.513	1449.72	0.648362	17.0496	11.0543	0.94628	155.562
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	2	1	1	4	492	223	[471,203,520,243]	6	350.514	1835.91	0.765377	16.0316	12.2702	0.982396	163.487
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	C2	3	2	2	1	1	5	114	234	[86,214,137,256]	7	303.755	1661.02	0.57826	18.1802	10.5129	0.965879	161.193
