ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	1	1	1	1	434	116	[405,96,458,137]	1	262.187	1493.29	0.690418	18.0651	12.4725	0.944655	184.861
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	1	1	1	2	181	199	[160,170,202,226]	2	183.084	1157.43	0.6025	18.9935	11.4436	0.919506	186.425
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	1	1	1	3	69	249	[44,192,93,296]	3	368.14	2057.29	0.325422	33.7365	10.9786	0.635986	334.48
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	1	1	1	4	611	340	[585,315,635,387]	4	216.973	1551.27	0.602852	23.5186	14.1782	0.889144	260.765
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	1	1	1	5	514	391	[488,365,543,421]	5	312.626	1412.98	0.861754	19.4412	16.7535	0.970796	261.391
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	5	1	1	1	396	232	[369,204,426,260]	3	182.177	1192.53	0.705918	20.0848	14.1782	0.980575	240.955
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	5	1	1	2	146	424	[122,405,165,449]	5	267.285	1638.99	0.542326	17.8619	9.687	0.847174	138.672
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	1	444	194	[420,170,468,224]	1	290.566	1485.13	0.680342	17.7331	12.0645	0.976327	184.965
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	2	526	252	[507,228,548,281]	2	253.068	1297.22	0.637052	17.9348	11.4254	0.953491	180.065
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	3	619	348	[586,303,643,371]	3	425.514	2864.81	0.439331	25.0326	10.9976	0.635475	286.831
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	4	522	345	[504,310,547,368]	4	211.543	972.908	0.568269	18.6389	10.5919	0.835222	191.847
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	5	549	338	[538,321,559,357]	5	125.114	620.932	0.493865	11.6959	5.77621	0.789854	51.9237
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	6	479	444	[450,416,515,473]	6	298	1277.37	0.796076	21.1543	16.8404	0.933816	293.609
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	3	1	1	7	223	41	[199,16,256,98]	9	102.469	831.046	0.510432	27.7769	14.1782	0.856003	345.532
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	7	1	1	1	29	179	[7,156,54,210]	1	301.485	1625.58	0.75271	18.2002	13.6995	0.947064	212.595
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	7	1	1	2	624	284	[600,261,656,308]	2	328.713	1486.99	0.738241	18.266	13.4847	0.968412	201.23
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	4	1	1	1	66	186	[42,163,93,220]	1	243.505472637	968.550746269	0.580617463131	20.7788094416	12.0645396249	0.905128914133	209.5714641
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	1	286	52	[247,22,309,76]	1	149.709	960.838	0.516078	20.5238	10.5919	0.599964	201.022
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	2	177	57	[145,37,220,79]	2	166.632	904.82	0.499914	24.5786	12.2872	0.833667	249.192
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	3	351	95	[326,69,373,129]	3	249.552	1940.44	0.480404	20.4755	9.83653	0.727169	189.24
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	4	113	103	[94,86,128,114]	4	42.6864	186.147	0.421637	12.6303	5.3254	0.677006	51.1938
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	5	254	196	[229,169,283,221]	6	198.714	890.759	0.825369	18.6641	15.4047	0.960225	235.221
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	6	515	220	[484,190,554,252]	7	229.543	1521.66	0.773962	24.3699	18.8613	0.977246	365.134
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	2	1	1	7	293	281	[279,267,331,296]	8	337.986	1710.97	0.512821	16.9423	8.68835	0.87321	115.629
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	8	1	1	1	82	77	[60,54,107,107]	1	186.954	914.116	0.72796	18.2888	13.3135	0.982984	200.918
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	8	1	1	2	422	183	[410,168,464,195]	2	177.637	1177.83	0.294273	18.0968	5.3254	0.684121	98.6341
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	8	1	1	3	442	198	[418,186,466,209]	3	233.18	1296.02	0.271194	16.6693	4.5206	0.692763	67.6676
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	9	1	1	1	587	53	[566,34,606,79]	1	279.937	1752.28	0.625697	16.1224	10.0877	0.994332	139.819
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	9	1	1	2	263	441	[234,417,294,466]	2	263.644	1352.75	0.724999	19.918	14.4405	0.986983	240.642
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	6	1	1	1	547	52	[519,25,577,79]	1	218.161	1187.31	0.780726	20.2785	15.832	0.968232	266.5
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	F23	6	23	6	1	1	2	216	260	[172,223,269,298]	2	190.166	1239.11	0.717745	31.7987	22.8233	0.975558	575.018
