ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	1	83	70	[58,45,107,96]	3	352.869	2530.73	0.829654	17.0893	14.1782	1.01262	202.899
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	2	169	228	[143,202,197,255]	5	318.137	1455.87	0.875222	17.8619	15.6332	1.0094	234.595
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	3	397	242	[379,214,415,265]	6	391.479	1885.89	0.669477	16.8466	11.2784	0.959386	159.316
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	4	246	277	[225,256,267,307]	7	303.395	1896.94	0.788315	17.223	13.5772	0.957724	197.373
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	5	574	299	[549,274,600,329]	8	396.111	2032.52	0.806371	18.2802	14.7407	0.997864	226.879
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	6	453	330	[424,310,475,352]	9	469.94	2318.64	0.679623	16.6223	11.2969	0.963203	167.866
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	7	88	393	[68,367,107,423]	10	394.363	2260.85	0.671751	18.266	12.2702	0.961551	187.989
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	8	311	390	[292,370,340,410]	11	408.044	1970.08	0.650067	16.9176	10.9976	0.977956	149.932
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	9	134	399	[118,382,151,426]	12	375.72	2395.54	0.648004	15.1797	9.83653	0.930993	126.89
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	10	309	82	[288,55,330,112]	15	413.937	1125.86	0.69907	18.476	12.916	0.957985	194.766
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	2	1	1	11	517	130	[494,107,541,158]	16	436.465	1313.15	0.742419	17.9115	13.2978	0.976973	196.017
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	1	491	40	[471,14,511,68]	1	474.861	1860.03	0.67471	18.1859	12.2702	0.949246	186.425
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	2	49	63	[30,44,75,81]	2	422.193	2485.36	0.597759	16.0608	9.60051	0.957019	130.852
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	3	348	177	[329,151,368,205]	3	412.21	1775.7	0.658015	18.0968	11.908	0.973664	176.207
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	4	84	209	[63,181,105,232]	4	391.573	1789.34	0.739948	16.8559	12.4725	0.98703	175.164
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	5	188	273	[171,238,205,294]	5	425.94	1731.31	0.585235	18.266	10.6899	0.901052	163.278
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	6	554	290	[535,271,585,311]	6	439.212	2532.43	0.66105	17.0893	11.2969	0.957682	166.197
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	7	261	357	[239,333,284,382]	7	402.505	1880.01	0.598389	17.7007	10.5919	0.992813	158.899
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	6	1	1	8	288	418	[264,388,313,442]	8	266.529	1549.84	0.789844	18.1543	14.3391	0.967392	220.623
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	1	609	52	[580,27,638,78]	2	341.205	1816.25	0.755722	19.5054	14.7407	0.993856	237.41
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	2	291	209	[270,187,311,232]	5	411.324	1696.48	0.743995	16.2159	12.0645	0.978517	154.937
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	3	209	246	[185,227,230,266]	6	386.39	1614.73	0.675949	15.901	10.7483	0.960295	142.947
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	4	474	303	[452,282,496,326]	7	432.81	1983.05	0.804542	15.5026	12.4725	0.990442	163.278
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	5	335	318	[314,299,363,340]	8	401.468	2269.17	0.706568	16.5532	11.6959	0.971953	155.562
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	6	581	346	[560,325,607,369]	9	444.724	2508.91	0.629439	17.1988	10.8256	0.984997	159.212
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	7	130	366	[110,346,152,413]	10	328.358	1793.41	0.594525	21.7521	12.9321	0.924369	254.614
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	5	1	1	8	432	460	[412,441,451,490]	12	495.714	1905.94	0.690119	16.3695	11.2969	0.984418	154.103
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	7	1	1	1	154	53	[134,33,184,77]	2	370.667	1837.95	0.692308	16.7908	11.6244	0.953869	165.051
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	7	1	1	2	448	85	[431,65,469,119]	3	335.291	2170.48	0.576523	18.0968	10.4332	0.947709	160.776
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	7	1	1	3	572	150	[554,132,594,179]	4	422.437	2093.13	0.600893	17.1958	10.3328	0.954184	150.662
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	7	1	1	4	236	195	[215,164,258,220]	6	336.304	1664.93	0.713186	18.2231	12.9965	0.962937	199.249
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	G20	7	20	7	1	1	5	484	322	[461,301,514,344]	8	309.558	2086.29	0.736086	17.5469	12.916	0.995908	186.008
