ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	1	280	46	[257,23,309,70]	3	280.366	1943.19	0.866281	17.1624	14.8674	0.992356	212.908
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	2	481	118	[456,92,508,158]	4	290.054	2468.94	0.712127	22.3058	15.8846	0.971442	290.898
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	3	616	264	[588,234,646,295]	5	340.698	2792.64	0.714273	21.6993	15.4992	0.993838	279.012
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	4	435	316	[412,294,474,338]	6	307.112	2374.86	0.665077	20.3913	13.5618	0.951672	231.571
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	5	480	393	[458,370,504,430]	7	375.619	2605.13	0.641701	19.8235	12.7208	0.90438	219.998
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	6	282	396	[254,371,309,422]	8	361.697	2771.39	0.643496	19.7682	12.7208	0.98312	215.202
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	7	350	444	[325,422,379,467]	9	443.919	2462.55	0.798585	17.8093	14.2223	0.982609	209.259
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	8	641	84	[617,56,669,117]	10	308.703	3082.71	0.649078	20.9885	13.6232	0.9882	241.164
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	9	267	148	[246,127,288,175]	11	240.667	1635.86	0.84598	15.6631	13.2507	0.982306	173.705
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	10	37	167	[6,143,63,193]	12	321.645	2138.29	0.744532	19.6651	14.6413	0.999151	230.424
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	11	143	202	[113,175,175,231]	13	361.046	2607.48	0.622108	22.6721	14.1045	0.988113	263.163
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	12	352	242	[321,218,376,267]	14	315.481	2108.72	0.624097	19.5241	12.1849	0.978394	202.064
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	13	71	316	[44,290,99,345]	15	289.231	1811.04	0.670552	20.4755	13.7299	1.00187	234.595
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	1	1	1	14	204	409	[181,373,228,434]	16	426.888	2571.66	0.582549	20.2296	11.7847	0.942657	224.898
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	1	415	88	[396,68,436,122]	4	289.645	2159.91	0.637052	17.7331	11.2969	0.961211	174.851
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	2	551	96	[522,73,577,119]	5	327.542	2574.95	0.684666	19.0757	13.0605	0.9612	209.676
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	3	245	146	[224,125,284,172]	7	286.703	2905.37	0.640653	20.3862	13.0605	0.95157	225.732
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	4	513	210	[488,185,541,236]	8	404.868	2525.21	0.84545	18.1083	15.3097	0.991403	227.296
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	5	350	237	[318,218,371,257]	9	403.031	2547.77	0.602061	17.1624	10.3328	0.92062	164.634
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	6	558	325	[528,306,578,346]	11	430.227	3294.17	0.746704	16.4552	12.2872	0.972009	175.686
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	7	239	337	[216,316,261,358]	12	445.708	1957.79	0.683564	16.0608	10.9786	0.995316	152.122
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	8	170	169	[146,134,192,198]	17	412.279	2193.24	0.538763	21.7089	11.6959	0.932094	226.15
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	9	151	300	[119,278,175,323]	18	397.915	2381.77	0.751665	18.266	13.7299	0.984566	209.989
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	10	113	363	[80,341,150,385]	19	331.958	3672.58	0.598817	22.7501	13.6232	0.93377	265.249
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	2	1	1	11	346	368	[314,347,375,394]	20	438.321	2942.47	0.646813	20.2167	13.0765	0.954126	229.694
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	1	633	20	[613,3,650,70]	1	299.454	2531.01	0.506314	21.7209	10.9976	0.900761	213.116
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	2	384	62	[355,38,411,88]	2	327.595	2096.02	0.755288	19.2146	14.5126	0.980606	231.884
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	3	227	79	[205,56,249,110]	3	292.382	2949.05	0.780869	17.5439	13.6995	0.986769	202.273
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	4	518	112	[498,89,540,146]	6	247.848	2091.46	0.663806	18.7893	12.4725	0.977355	193.41
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	5	62	150	[41,125,84,186]	7	412.444	2370.49	0.610112	20.1392	12.2872	0.94386	211.344
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	6	184	233	[159,208,212,260]	8	291.162	2159.39	0.78064	18.6641	14.5699	1.01778	225.628
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	7	172	472	[130,452,200,494]	12	424.459	2973.36	0.536276	22.8804	12.2702	0.912315	245.96
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	8	147	113	[122,88,172,147]	13	373.584	2067.39	0.728937	19.8104	14.4405	0.969675	239.287
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	9	311	265	[282,244,336,287]	14	369.385	2621.83	0.717035	18.0131	12.916	0.9497	199.875
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	10	545	295	[524,267,566,329]	15	366.006	2751.98	0.643048	20.1858	12.9804	0.946847	220.936
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	4	1	1	11	65	293	[42,272,97,319]	16	437.437	2697.87	0.655165	19.4412	12.7372	0.961414	206.965
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	1	506	75	[478,54,530,101]	3	553.95	2614.4	0.603112	18.731	11.2969	0.968094	182.254
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	2	555	323	[535,305,589,342]	5	482.943	2938.77	0.656532	17.7331	11.6423	0.961693	172.453
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	3	649	335	[623,309,675,369]	6	368.53	2805.58	0.782089	19.6969	15.4047	0.998806	248.879
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	4	609	140	[583,116,633,172]	7	483.505	2840.4	0.622607	20.5365	12.7862	0.985565	216.14
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	5	365	183	[333,161,389,207]	8	433.807	2597.27	0.649578	18.4929	12.0126	0.969778	196.226
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	6	212	213	[188,180,236,241]	9	355.981	2130.8	0.673365	20.3222	13.6843	0.953878	232.51
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	3	1	1	7	468	280	[445,257,493,316]	10	507.494	2158.51	0.728869	19.6731	14.3391	0.992115	236.68
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	1	595	140	[567,114,621,168]	2	391.566	2495.13	0.619992	20.6757	12.8188	0.993038	221.979
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	2	416	263	[392,239,445,288]	3	286.392	1862.19	0.674901	18.9935	12.8188	1.004	205.609
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	3	313	308	[288,286,339,330]	5	320.242	1845.85	0.690574	17.6446	12.1849	0.967855	187.467
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	4	140	452	[121,432,160,476]	6	321.656	2595.57	0.742643	14.473	10.7483	0.996476	135.648
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	5	312	122	[285,96,338,151]	8	292.107	2051.83	0.63375	20.1754	12.7862	0.993676	219.268
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	6	196	198	[170,162,219,229]	9	398.451	2100.76	0.685454	20.7487	14.2223	0.955816	269.941
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	7	95	352	[65,322,128,384]	10	242.314	1666.25	0.720989	22.4107	16.1579	0.907611	310.916
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	8	482	399	[458,376,506,431]	11	435.754	2265.78	0.694282	18.8115	13.0605	0.981652	211.761
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	7	1	1	9	275	415	[231,385,307,447]	12	227.273	2733.91	0.747342	25.2379	18.8613	0.902663	337.504
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	1	280	38	[251,19,302,58]	1	354.074	2524.96	0.709589	16.7815	11.908	0.948946	170.994
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	2	451	52	[417,22,481,83]	2	241.232	2232.75	0.762503	21.988	16.7659	0.998893	309.04
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	3	165	107	[147,89,189,151]	3	380.303	2656.49	0.529781	20.7587	10.9976	0.918416	201.543
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	4	318	185	[291,157,347,216]	4	301.799	2305.21	0.781493	20.6757	16.1579	0.966687	272.13
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	5	211	297	[177,271,236,323]	5	399.011	2146.58	0.696179	20.3658	14.1782	0.980954	244.187
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	6	562	446	[532,422,595,471]	6	345.359	2216.78	0.729222	21.0505	15.3505	0.970354	261.182
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	7	411	243	[390,222,433,282]	9	336.509	2438.62	0.640238	19.8944	12.7372	0.948662	213.221
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	8	616	252	[592,228,640,281]	10	518.127	2425.85	0.622718	19.374	12.0645	0.986667	196.643
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	9	104	317	[78,292,133,343]	11	425.807	2666.44	0.682875	19.4733	13.2978	0.994281	216.557
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	10	346	380	[319,349,379,411]	12	461.369	2664.81	0.474342	23.8159	11.2969	0.933047	243.874
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	5	1	1	11	243	444	[218,418,271,474]	13	544.979	2632.92	0.533947	20.8789	11.1482	0.961302	204.15
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	6	1	1	1	348	45	[327,23,376,69]	2	418.614	2384.6	0.60029	17.6446	10.5919	0.964236	168.178
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	J7	10	7	6	1	1	2	591	78	[562,57,613,123]	3	299.855	2106.51	0.600381	22.3828	13.4382	0.948715	251.069
