ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	1	415	37	[390,15,441,58]	1	311.324	3593.75	0.752444	17.1654	12.916	0.957615	184.027
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	2	145	41	[124,18,166,70]	2	108.059	1272.27	0.72936	17.4635	12.7372	0.971995	180.899
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	3	81	48	[53,23,104,77]	3	235.31	3938.9	0.600619	19.8262	11.908	0.991747	201.23
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	4	235	62	[213,40,256,94]	4	212.492	3019.78	0.717658	17.8619	12.8188	0.975065	184.548
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	5	513	62	[484,43,541,82]	5	305.972	4096.22	0.619987	18.6333	11.5524	0.923197	175.164
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	6	596	160	[575,137,615,190]	6	304.533	4345.91	0.650768	17.9725	11.6959	0.970352	175.164
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	7	162	177	[138,155,199,199]	7	237.149	2044.12	0.688475	20.0744	13.8207	0.966698	235.012
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	8	343	200	[308,166,393,235]	8	151.061	1430.78	0.660985	29.3271	19.3848	0.97262	448.545
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	9	520	195	[493,170,549,220]	9	204.833	3291.85	0.822433	18.1285	14.9095	0.97618	227.088
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	L2	12	2	3	1	1	10	623	249	[602,227,658,273]	10	310.213	4318.27	0.62846	20.3453	12.7862	0.905175	196.538
