ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	1	140	165	[116,141,166,196]	3	302.607	1425.81	0.72619	19.5241	14.1782	0.990376	220.936
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	2	420	227	[402,203,439,254]	4	324.625	2281.13	0.676431	16.9176	11.4436	0.976569	159.316
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	3	586	304	[562,282,610,325]	5	493.774	2532.95	0.754474	16.4647	12.4222	0.963892	168.074
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	4	152	404	[130,381,174,431]	6	304.632	2075.43	0.739609	16.6818	12.338	0.952538	179.752
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	5	568	160	[544,139,590,185]	9	407.788	2429.51	0.640483	16.9022	10.8256	0.961694	157.544
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	4	1	1	6	335	319	[313,296,360,347]	10	406.377	1734.59	0.649493	18.2802	11.8729	0.996523	180.794
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	6	1	1	1	506	45	[486,14,526,66]	1	336.318	2242.95	0.721585	17.0985	12.338	0.959795	184.757
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	6	1	1	2	671	34	[664,17,677,66]	2	415.833	2545.47	0.219392	15.8517	3.47774	0.619661	51.9237
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	6	1	1	3	182	92	[160,69,204,125]	3	296.666	2204.6	0.734183	18.4929	13.5772	0.983448	209.571
180508_LMNA_LMNB1	3273	HTIF00177	3822	2018-05-08T18:47:54Z	3747	M8	13	8	6	1	1	4	424	145	[399,120,455,170]	4	345.36	2147.74	0.837305	18.6389	15.6065	0.987227	240.747
