ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	1	1	1	1	253	204	[233,184,274,232]	1	447.187	3140.8	0.787119	15.9305	12.5392	0.980735	168.074
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	1	1	1	2	631	243	[611,226,650,263]	2	61.2493	247.065	0.781105	12.5931	9.83653	0.724109	106.662
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	1	190	38	[164,10,216,72]	2	362.352	2875.82	0.692559	21.4674	14.8674	0.934702	268.794
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	2	278	53	[255,29,302,77]	3	390.478	2585.45	0.768429	16.6818	12.8188	0.982098	181.524
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	3	443	49	[422,27,464,79]	4	470.048	3700.22	0.719323	17.6387	12.688	0.980106	186.216
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	4	70	108	[45,89,95,125]	5	505.172	3096.71	0.611088	17.0404	10.4132	0.92219	148.785
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	5	314	172	[291,150,336,197]	6	370.421	3573.49	0.866088	15.516	13.4382	0.989048	175.79
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	6	369	181	[352,164,387,213]	7	424.866	3320.42	0.678198	16.2159	10.9976	0.887903	150.245
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	7	91	265	[61,244,112,287]	9	376.368	2685.05	0.771086	16.5185	12.7372	0.97659	179.752
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	8	507	70	[485,48,533,94]	10	611.721	3804.25	0.839613	16.2255	13.6232	0.988265	186.216
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	9	364	283	[319,252,395,314]	11	323.493	2407.83	0.674639	25.9166	17.4844	0.96163	373.371
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	3	1	1	10	406	398	[383,376,428,425]	12	502.307	3224.34	0.80738	16.6442	13.4382	1.00969	182.254
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	1	60	260	[41,241,90,282]	2	321.884	2345.75	0.652781	15.9827	10.4332	0.931485	160.776
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	2	228	331	[204,308,249,353]	3	366.794	2387.53	0.73667	16.5406	12.1849	0.970913	165.155
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	3	598	381	[570,354,626,409]	4	379.696	1259.15	0.741949	19.8866	14.7548	0.978396	240.017
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	4	111	392	[90,370,131,420]	5	538.017	4492.4	0.739014	16.6035	12.2702	0.98568	172.141
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	5	40	439	[15,414,64,465]	6	331.289	2843.17	0.758209	18.1083	13.7299	0.97666	201.439
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	6	383	288	[358,263,408,321]	8	300.622	2711.85	0.809776	19.2064	15.5529	0.999591	242.936
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	2	1	1	7	438	399	[412,374,465,429]	9	536.3	2992.79	0.711456	19.9285	14.1782	0.979599	231.467
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	1	135	101	[105,70,165,132]	2	306.25	2224.67	0.793727	21.1074	16.7535	1.00805	296.424
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	2	461	121	[442,99,481,150]	3	406.827	2199.43	0.708645	16.9515	12.0126	1.00336	164.425
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	3	472	306	[452,286,492,327]	4	445.116	3230.75	0.923691	13.1916	12.1849	1.01005	138.88
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	4	285	105	[253,73,325,139]	6	233.487	2113.03	0.871194	23.7326	20.6757	0.999268	395.579
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	5	379	271	[357,247,401,297]	8	418.185	2970.89	0.770743	16.9453	13.0605	0.995537	180.482
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	6	1	1	6	228	362	[207,341,256,383]	9	434.603	3402.75	0.786504	16.4426	12.9321	0.983628	176.728
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	1	96	103	[76,82,118,134]	3	450.431	3066.29	0.689496	17.7712	12.2532	0.983067	181.837
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	2	215	123	[194,104,244,142]	4	370.481	3066.62	0.737932	16.4426	12.1335	0.962515	167.657
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	3	48	256	[23,233,73,280]	5	400.879	3287.46	0.873038	16.5406	14.4405	1.001	198.832
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	4	318	301	[293,276,343,329]	6	431.798	2945.17	0.81794	18.0044	14.7265	1.00941	219.372
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	5	518	454	[495,432,541,482]	7	414.444	3597.7	0.78684	16.8404	13.2507	0.997537	183.818
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	7	1	1	6	188	335	[159,305,216,371]	9	351.328	3349.66	0.570147	24.0013	13.6843	0.971531	274.528
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	1	650	34	[631,7,668,60]	1	353.215	3403.82	0.663499	17.5469	11.6423	0.940241	168.283
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	2	217	77	[195,55,240,100]	2	351.888	1932.78	0.542326	17.8619	9.687	0.974361	146.596
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	3	510	100	[491,72,529,129]	3	190.552	1645.5	0.629077	18.507	11.6423	0.954485	185.591
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	4	543	166	[518,144,565,197]	4	289.803	2615.38	0.640982	18.3855	11.7847	0.976427	187.676
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	5	479	215	[456,191,501,237]	6	261.127	2402.18	0.74088	16.7442	12.4054	0.978638	167.449
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	6	274	252	[254,220,296,278]	7	387.37	2964.21	0.652761	19.0045	12.4054	0.948986	207.799
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	7	421	271	[399,249,444,294]	8	446.984	3524.59	0.649574	17.1624	11.1482	0.984987	161.714
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	5	1	1	8	222	400	[193,370,257,430]	9	214.812	1630.75	0.802826	22.1322	17.7683	0.993499	316.651
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	1	500	31	[469,9,536,56]	3	283.527	2863.02	0.608022	22.1016	13.4382	0.938687	255.448
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	2	303	48	[283,30,329,68]	4	420.877	2178.91	0.730633	15.0521	10.9976	0.974218	144.198
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	3	570	68	[546,48,590,92]	5	323.637	2888.47	0.725081	15.7825	11.4436	1.00108	151.183
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	4	460	106	[437,84,490,130]	7	397.35	2703.31	0.77567	17.7007	13.7299	0.955834	213.221
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	5	418	173	[398,153,447,194]	8	412.897	3891.57	0.779471	16.3408	12.7372	0.978581	172.558
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	6	57	197	[32,176,79,220]	9	424.036	2691.96	0.680044	17.1988	11.6959	0.975485	166.51
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	7	566	262	[545,242,598,283]	10	442.445	3506.8	0.724175	17.223	12.4725	0.976327	184.965
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	8	173	297	[149,269,198,323]	11	458.285	3033.5	0.722861	19.182	13.8659	0.986061	213.429
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	9	461	335	[438,312,488,360]	12	405.018	3061.79	0.899362	16.5311	14.8674	1.01719	198.728
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	4	1	1	10	323	338	[300,318,354,361]	13	507.914	3153.22	0.647433	18.0651	11.6959	0.98681	180.377
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	1	274	76	[253,54,301,99]	2	430.484	3076.91	0.830761	15.9501	13.2507	0.991251	179.126
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	2	76	142	[54,120,104,164]	3	385.529	2772.93	0.801519	16.7659	13.4382	0.989215	186.529
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	3	121	226	[95,207,145,245]	4	390.079	1996.63	0.717434	16.3025	11.6959	0.995813	154.728
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	4	323	350	[304,332,341,380]	5	447.031	2249.62	0.747114	15.5831	11.6423	0.985482	149.515
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	5	538	405	[516,383,560,429]	6	508.312	3663.11	0.885336	15.2312	13.4847	0.986019	174.851
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	6	289	146	[263,120,317,180]	7	295.206	1443.47	0.679628	21.2477	14.4405	0.994628	253.363
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	8	1	1	7	519	288	[496,253,544,327]	8	304.916	3873.48	0.586344	24.3806	14.2954	0.939111	296.528
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	1	255	68	[234,46,277,92]	1	383.006	3073.71	0.740626	16.2897	12.0645	0.983115	163.695
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	2	434	82	[399,54,464,114]	2	334.204	2188.8	0.699426	22.935	16.0413	1.00018	306.225
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	3	594	146	[572,128,634,165]	3	488.886	3872.34	0.56246	20.0848	11.2969	0.899688	191.951
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	4	544	270	[505,248,565,291]	4	424.9	3107.52	0.623415	19.5455	12.1849	0.908623	216.349
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	5	97	345	[71,321,123,370]	5	347.411	3249.16	0.8491	17.3437	14.7265	1.0038	211.344
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	B3	2	3	9	1	1	6	363	369	[331,348,387,393]	6	513.974	3746.82	0.674023	18.8972	12.7372	0.980126	202.69
