ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	1	291	62	[270,42,316,81]	2	313.485	624.008	0.698458	16.174	11.2969	0.973562	146.387
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	2	118	156	[98,135,141,177]	3	303.721	579.911	0.80824	14.9269	12.0645	1.00108	151.183
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	3	333	292	[316,274,350,315]	5	352.401	688.768	0.761155	13.7071	10.4332	0.975169	119.696
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	4	177	328	[163,313,192,359]	6	362.488	608.831	0.605121	14.9792	9.06423	0.94853	118.236
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	5	249	346	[229,326,270,371]	7	332.206	636.128	0.716174	15.9534	11.4254	1.00069	151.079
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	6	404	389	[383,369,425,417]	8	314.33	1013.89	0.814215	15.5831	12.688	0.942607	164.112
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	7	472	398	[451,377,494,422]	9	341.385	879.408	0.7396	15.6198	11.5524	1.00351	154.311
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	8	651	417	[629,395,671,444]	10	427.752	1012.38	0.755033	16.2512	12.2702	0.99334	164.112
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	9	124	421	[105,402,150,440]	11	250.107	1030.29	0.81066	14.8183	12.0126	0.986667	149.828
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	10	528	436	[508,418,546,460]	12	357.906	1076.76	0.693139	15.0521	10.4332	0.999788	131.79
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	11	434	163	[413,140,455,190]	15	372.252	879.053	0.810424	16.3504	13.2507	0.978861	180.482
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	E24	5	24	2	1	1	12	187	247	[165,226,207,272]	16	282.889	603.126	0.721629	16.0088	11.5524	0.995042	154.52
