ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	1	215	35	[198,18,237,53]	5	253.596	2720.44	0.795254	13.4421	10.6899	0.984379	119.487
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	2	492	90	[459,66,517,117]	6	329.447	2532.52	0.685863	20.2167	13.8659	1.00838	234.178
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	3	25	128	[4,108,60,149]	7	350.214	2600.8	0.701605	18.1543	12.7372	0.943641	181.941
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	4	150	156	[112,137,173,178]	8	263.568	1934.88	0.580829	20.1366	11.6959	0.939118	196.017
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	5	514	242	[487,222,544,262]	10	328.064	2459.65	0.666667	18.507	12.338	0.947631	191.117
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	6	44	343	[14,325,65,361]	12	291.399	3504.43	0.666542	16.6693	11.1108	0.919272	154.833
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	7	319	203	[294,178,353,230]	17	223.867	1668.86	0.740483	20.4347	15.1316	0.997417	254.614
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	8	269	274	[248,252,289,309]	18	264.812	2230.17	0.669467	18.9523	12.688	0.970568	199.249
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	9	189	289	[166,267,210,320]	19	316.998	1559.26	0.679649	18.2774	12.4222	0.97984	188.823
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	10	518	385	[494,361,546,410]	21	349.516	2542.38	0.636179	18.0737	11.4981	0.989531	186.633
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	11	214	423	[186,395,244,454]	22	350.382	1940.66	0.658224	21.5401	14.1782	0.973304	253.154
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	2	1	1	12	440	451	[407,418,473,488]	23	245.659	2526.26	0.797734	24.2863	19.374	0.971491	380.148
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	1	629	24	[609,2,649,54]	1	327.059	2380.29	0.658247	17.7683	11.6959	0.930452	175.06
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	2	296	139	[259,103,350,176]	2	149.549	2493.73	0.766588	29.4972	22.6122	0.988023	541.028
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	3	525	216	[505,196,548,237]	3	270.466	2352.1	0.840487	15.135	12.7208	0.994271	154.311
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	4	496	255	[474,234,518,281]	4	294.099	1900.56	0.810622	15.9534	12.9321	1.00905	171.306
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	5	482	376	[463,356,502,406]	6	305.254	3276	0.732275	16.4045	12.0126	0.974118	163.591
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	6	116	455	[93,432,143,480]	7	344.021	3368.86	0.696202	18.2717	12.7208	0.980442	191.742
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	7	387	264	[364,232,409,291]	10	272.717	1940.81	0.655714	19.918	13.0605	0.946531	212.387
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	8	100	345	[65,312,135,379]	12	208.271	2258.8	0.777674	24.0966	18.7393	1.0076	377.541
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	6	1	1	9	373	426	[349,402,403,451]	13	354.105	1999.13	0.810555	18.1859	14.7407	0.994725	225.628
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	1	388	30	[368,5,407,57]	4	351.963	2944.04	0.695717	17.0404	11.8553	0.969231	172.245
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	2	592	132	[561,112,617,153]	5	305.849	2410.04	0.60557	18.8972	11.4436	0.932201	190.908
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	3	319	174	[297,154,362,195]	6	344.276	2512.9	0.612779	21.0777	12.916	0.944532	228.548
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	4	177	186	[165,173,188,206]	7	42.5331	1062.2	0.487727	10.6753	5.20661	0.65096	52.0279
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	5	482	243	[460,223,513,263]	8	372.692	1697.89	0.726734	17.1624	12.4725	0.967127	176.728
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	6	455	421	[429,402,483,442]	9	465.484	2154.11	0.690497	17.7947	12.2872	0.944886	182.358
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	7	522	27	[499,5,550,49]	10	353.6	2746.65	0.827921	16.5469	13.6995	1.00367	185.799
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	8	274	70	[248,47,300,95]	11	350.873	1819.4	0.602253	19.182	11.5524	0.991111	187.155
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	9	115	108	[86,80,147,135]	12	310.105	1518.47	0.707362	20.8189	14.7265	1.0062	258.576
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	10	593	279	[566,251,619,306]	13	404.611	2778.4	0.664148	20.0224	13.2978	0.998871	224.273
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	11	274	285	[247,258,301,312]	14	355.05	1799.7	0.611267	21.0505	12.8675	0.968437	221.041
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	12	115	298	[88,272,141,327]	15	358.308	2009.57	0.604888	20.5086	12.4054	0.985022	215.932
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	13	74	420	[51,397,109,445]	16	390.354	2238.24	0.643398	20.6681	13.2978	0.948174	218.642
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	I17	9	17	4	1	1	14	265	465	[240,442,289,488]	17	385.542	2199.04	0.852078	16.6223	14.1635	0.975485	195.496
