ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	1	30	78	[9,54,52,102]	2	378.056	3165.78	0.684548	16.5027	11.2969	0.993933	159.212
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	2	547	156	[526,135,571,185]	3	540.379	3076.02	0.662864	17.9115	11.8729	0.978941	177.875
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	3	418	192	[399,172,437,220]	5	437.281	2733.51	0.733284	15.9501	11.6959	0.971782	157.961
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	4	156	228	[123,206,181,254]	6	284.713	2342.49	0.630415	20.5137	12.9321	0.938903	220.519
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	5	643	274	[623,253,665,303]	7	492.103	4047.78	0.733284	16.9176	12.4054	0.992844	174.33
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	6	176	455	[156,431,197,478]	8	572.687	3467.46	0.739245	16.0608	11.8729	0.987587	159.942
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	7	499	455	[477,435,529,477]	9	516.436	3936.69	0.73281	16.9515	12.4222	0.974313	179.022
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	8	431	41	[409,16,453,68]	11	443.711	2653.85	0.701372	17.783	12.4725	0.975494	187.363
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	9	307	53	[284,29,331,76]	12	462.759	2807.04	0.75139	16.9515	12.7372	0.999748	179.126
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	10	173	56	[150,35,195,93]	13	354.3	2261.44	0.660269	19.2661	12.7208	0.973057	208.529
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	11	40	349	[13,315,66,382]	14	316.985	2832.33	0.699239	22.2426	15.5529	0.991519	284.538
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	6	1	1	12	346	411	[325,389,372,434]	15	496.341	3425.34	0.721854	16.4964	11.908	1.00414	167.24
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	5	1	1	1	553	48	[530,25,575,73]	1	395.969	3448.89	0.602921	17.5677	10.5919	0.96526	163.487
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	K7	11	7	5	1	1	2	190	52	[171,33,224,72]	2	293.386	2295.77	0.713416	17.223	12.2872	0.968454	179.752
