ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Intensity Nucleus Region Exp3Cam2 Mean	Nuclei Selected - Intensity Nucleus Region Exp2Cam1 Mean	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Nucleus Length [µm]	Nuclei Selected - Nucleus Width [µm]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Area [µm²]
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	1	386	76	[369,56,404,96]	2	170.277	2217.8	0.741702	13.0605	9.687	0.91215	114.482
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	2	474	112	[451,93,492,130]	3	248.836	3255.09	0.550456	15.0244	8.27028	0.849106	104.89
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	3	379	164	[353,142,409,188]	4	212.987	1930.46	0.578612	19.5241	11.2969	0.931572	195.913
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	4	206	348	[183,326,238,372]	5	285.529	3199.54	0.764366	17.9028	13.6843	0.991699	204.045
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	5	348	365	[327,345,368,390]	6	296.011	3533.68	0.660509	15.7957	10.4332	0.957854	140.027
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	6	408	383	[388,365,438,404]	7	240.938	2093.24	0.663067	16.7566	11.1108	0.937885	167.553
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	7	25	391	[4,375,47,408]	8	354.709	3651.53	0.694704	14.0675	9.77273	0.962054	121.155
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	8	317	430	[305,403,332,446]	9	330.769	3683.92	0.344641	15.452	5.3254	0.804523	74.5491
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	2	1	1	9	631	163	[606,140,658,187]	10	267.371	2545.93	0.773952	17.7007	13.6995	0.993214	201.752
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	1	632	69	[613,49,655,93]	1	414.087	2940.47	0.617495	16.896	10.4332	0.946577	141.695
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	2	208	127	[178,104,227,153]	2	289.633	3682.64	0.573568	17.1867	9.85771	0.903389	164.008
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	3	49	136	[30,116,70,164]	3	346.663	1781.7	0.640367	16.9053	10.8256	0.94261	154.52
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	4	246	155	[222,133,270,180]	4	273.588	2682.57	0.639649	17.8619	11.4254	0.968556	172.036
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	5	581	288	[563,266,599,319]	5	149.151	1338.55	0.58153	17.7683	10.3328	0.92149	153.164
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	6	387	316	[367,294,405,352]	6	285.451	3189.27	0.588598	19.1929	11.2969	0.940008	178.188
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	7	524	348	[501,326,549,369]	7	127.139	1141.73	0.749656	15.8846	11.908	0.957944	163.799
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	8	575	466	[553,441,596,488]	8	181.435	1261.06	0.70262	17.4635	12.2702	0.962128	170.055
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	9	485	224	[463,201,508,247]	9	207.903	1716.25	0.814753	15.6332	12.7372	0.998818	168.283
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	10	556	228	[533,200,578,254]	10	259.753	1861.17	0.732885	17.9725	13.1718	0.995596	196.955
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	5	1	1	11	147	283	[124,263,183,305]	11	360.268	2895.16	0.60819	20.147	12.2532	0.930917	198.311
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	1	196	82	[181,52,209,99]	1	288.623	2342.03	0.360144	16.1385	5.8122	0.779831	76.3215
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	2	502	119	[479,99,519,147]	2	405.324	3600.22	0.602683	16.6693	10.0463	0.945762	148.368
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	3	261	140	[236,119,283,161]	3	306.374	2226.07	0.73953	16.5689	12.2532	0.998034	165.468
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	4	364	169	[346,151,381,190]	4	415.95	3113.19	0.783657	13.3135	10.4332	1.00106	114.274
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	5	210	261	[188,231,232,286]	5	320.223	1763.35	0.754115	18.0651	13.6232	0.983203	198.207
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	6	630	270	[611,252,648,299]	6	154.762	2191.62	0.662729	15.7428	10.4332	0.955836	141.8
180508_LMNA_LMNB1	3273	HTIF00183	3824	2018-05-10T14:37:22Z	3749	P12	16	12	1	1	1	7	44	347	[14,331,76,365]	7	354.947	1458.58	0.510538	20.2785	10.353	0.893594	184.757
